scenario_key,scenario,allocation_label,alloc_reset,alloc_pause,alloc_repair,expected_used_reset,expected_used_pause,expected_used_repair,unused_ratio,total_prob
tied,平局局,R2-P1-M1,2,1,1,0.21372596668940153,0.6948382986233028,0.2775539465723302,0.7034704470287414,0.9999999999999999
tied,平局局,R2-P2-M0,2,2,0,0.22539663456105632,1.026578641628197,0.0,0.6870061809526866,0.9999999999999999
tied,平局局,R2-P2-M1,2,2,1,0.2231650202820911,1.0505546473901037,0.2499594315385138,0.6952641801578583,1.0
trailing,落后局,R0-P0-M0,0,0,0,0.0,0.0,0.0,0.0,1.0
trailing,落后局,R0-P0-M1,0,0,1,0.0,0.0,0.47074201686295375,0.5292579831370463,0.9999999999999998
trailing,落后局,R0-P1-M0,0,1,0,0.0,0.3913234363699783,0.0,0.6086765636300218,1.0
trailing,落后局,R0-P1-M1,0,1,1,0.0,0.40472555606555183,0.4074134220221638,0.5939305109561421,1.0
trailing,落后局,R0-P2-M0,0,2,0,0.0,0.42432836032126103,0.0,0.7878358198393695,1.0
trailing,落后局,R0-P2-M1,0,2,1,0.0,0.44976042944278,0.3927838436070461,0.7191519089833913,1.0
trailing,落后局,R1-P0-M0,1,0,0,0.2326782322333054,0.0,0.0,0.7673217677666946,1.0
trailing,落后局,R1-P0-M1,1,0,1,0.23147196052287067,0.0,0.4835469523502828,0.6424905435634233,1.0000000000000002
trailing,落后局,R1-P1-M0,1,1,0,0.2691481264532072,0.3951859403784425,0.0,0.6678329665841751,0.9999999999999999
trailing,落后局,R1-P1-M1,1,1,1,0.26721320601150583,0.4107481571010278,0.4053229825361538,0.6389052181171042,1.0
trailing,落后局,R1-P2-M0,1,2,0,0.2692271319593098,0.4345257134045526,0.0,0.7654157182120459,1.0
trailing,落后局,R1-P2-M1,1,2,1,0.26727505723193,0.46313671865448425,0.390310187375269,0.7198195091845792,0.9999999999999999
trailing,落后局,R2-P0-M0,2,0,0,0.2644080054396923,0.0,0.0,0.8677959972801539,1.0000000000000002
trailing,落后局,R2-P0-M1,2,0,1,0.2628225407777302,0.0,0.4809016441019569,0.7520919383734376,1.0
trailing,落后局,R2-P1-M0,2,1,0,0.3085139933632538,0.39914772129560533,0.0,0.7641127617803803,1.0
trailing,落后局,R2-P1-M1,2,1,1,0.30611020451553156,0.4150187811610763,0.40230466502917894,0.7191415873235533,1.0
trailing,落后局,R2-P2-M0,2,2,0,0.3085147511214591,0.440429186749264,0.0,0.8127640155323193,1.0
trailing,落后局,R2-P2-M1,2,2,1,0.30608896505741506,0.46941400180314696,0.3872033422081523,0.7674587381862572,1.0
