state_index,score_diff,time_step,time_phase,time_phase_name,health_my,health_my_name,health_opp,health_opp_name,recovery_lock,recovery_name,counter_ready,counter_ready_name,greedy_action_id,greedy_expected_reward,static_action_id,static_action_prob,rule_action_id,rule_expected_reward,mdp_action_id,mdp_value,mdp_immediate_reward,top1_action_id,top1_q,top2_action_id,top2_q,top3_action_id,top3_q,q_gap_12,q_gap_23,greedy_action_name,greedy_action_type,greedy_macro_group,static_action_name,static_action_type,static_macro_group,rule_action_name,rule_action_type,rule_macro_group,mdp_action_name,mdp_action_type,mdp_macro_group
10,-5,1,early,前期,0,Low,2,High,1,Recover,0,Normal,D15,0.04858673456518,D19,0.0,D16,-0.02727112540672688,D15,-2.955690494541504,0.04858673456518,D15,-2.955690494541504,D16,-3.034831340955887,D14,-3.0470038067238328,0.07914084641438324,0.012172465767945617,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
11,-5,1,early,前期,0,Low,2,High,1,Recover,1,CounterReady,D15,0.05476115701617799,D19,0.0,D16,-0.023764992261934362,D15,-2.949516072090506,0.05476115701617799,D15,-2.949516072090506,D16,-3.0313252078110944,D14,-3.0470038067238328,0.08180913572058834,0.015678598912738373,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
12,-5,1,early,前期,1,Mid,0,Low,0,Normal,0,Normal,A02,0.052960119677149795,A04,1.0,A04,0.02777008182745684,A02,-3.0371167191041306,0.052960119677149795,A02,-3.0371167191041306,A03,-3.039432730892458,A01,-3.039856489816066,0.002316011788327188,0.0004237589236080197,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
13,-5,1,early,前期,1,Mid,0,Low,0,Normal,1,CounterReady,A02,0.04650145600259866,A04,1.0,A04,0.03135743241947728,A02,-3.0435737962825398,0.04650145600259866,A02,-3.0435737962825398,A01,-3.044555642406158,A03,-3.0460736495035388,0.0009818461236181797,0.0015180070973808135,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
14,-5,1,early,前期,1,Mid,0,Low,1,Recover,0,Normal,D15,-0.0319762269922318,D19,0.0,D16,-0.049960173705173194,D15,-3.1056461592820517,-0.0319762269922318,D15,-3.1056461592820517,D16,-3.1308643812595376,D14,-3.152154462607926,0.02521822197748591,0.0212900813483885,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
15,-5,1,early,前期,1,Mid,0,Low,1,Recover,1,CounterReady,D15,-0.0319762269922318,D19,0.0,D16,-0.049960173705173194,D15,-3.1056461592820517,-0.0319762269922318,D15,-3.1056461592820517,D16,-3.1308643812595376,D14,-3.152154462607926,0.02521822197748591,0.0212900813483885,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
16,-5,1,early,前期,1,Mid,1,Mid,0,Normal,0,Normal,A02,0.05322814173802378,A04,1.0,A04,0.029188647906378228,A02,-3.0233234724385447,0.05322814173802378,A02,-3.0233234724385447,A03,-3.0256015900614144,A01,-3.026205513833213,0.0022781176228696687,0.0006039237717985202,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
17,-5,1,early,前期,1,Mid,1,Mid,0,Normal,1,CounterReady,A02,0.04677483850469013,A04,1.0,A04,0.032804369819977086,A02,-3.029774522139443,0.04677483850469013,A02,-3.029774522139443,A01,-3.0308760649310837,A03,-3.0322367059141286,0.0011015427916407639,0.0013606409830448918,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
18,-5,1,early,前期,1,Mid,1,Mid,1,Recover,0,Normal,D15,-0.039584827225106096,D19,0.0,D16,-0.09311773231460932,D15,-3.089435017225158,-0.039584827225106096,D15,-3.089435017225158,D16,-3.1534048335520546,D14,-3.1598916256554155,0.06396981632689647,0.006486792103360894,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
19,-5,1,early,前期,1,Mid,1,Mid,1,Recover,1,CounterReady,D15,-0.03326969400906774,D19,0.0,D16,-0.0896586799323549,D15,-3.0831198840091196,-0.03326969400906774,D15,-3.0831198840091196,D16,-3.1499457811698,D14,-3.1598916256554155,0.06682589716068055,0.009945844485615307,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
20,-5,1,early,前期,1,Mid,2,High,0,Normal,0,Normal,A02,0.05322814173802378,A04,1.0,A04,0.029188647906378228,A02,-3.023648359988842,0.05322814173802378,A02,-3.023648359988842,A03,-3.025985247152648,A01,-3.026516081010143,0.0023368871638060895,0.0005308338574949722,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
21,-5,1,early,前期,1,Mid,2,High,0,Normal,1,CounterReady,A02,0.04677483850469013,A04,1.0,A04,0.032804369819977086,A02,-3.030098886312379,0.04677483850469013,A02,-3.030098886312379,A01,-3.031184221642863,A03,-3.0326198556241626,0.0010853353304840496,0.0014356339812997554,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
22,-5,1,early,前期,1,Mid,2,High,1,Recover,0,Normal,D15,-0.04439035219213815,D19,0.0,D16,-0.09886135591293518,D15,-3.1022798778068923,-0.04439035219213815,D15,-3.1022798778068923,D16,-3.166657525615346,D14,-3.1717027572823877,0.0643776478084539,0.0050452316670415165,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
23,-5,1,early,前期,1,Mid,2,High,1,Recover,1,CounterReady,D15,-0.03821592974114017,D19,0.0,D16,-0.09535522276814266,D15,-3.0961054553558944,-0.03821592974114017,D15,-3.0961054553558944,D16,-3.163151392470554,D14,-3.1717027572823877,0.06704593711465945,0.008551364811833828,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
24,-5,1,early,前期,2,High,0,Low,0,Normal,0,Normal,A02,0.05316506177540329,A04,1.0,A04,0.03259852647173748,A02,-3.0024540847221184,0.05316506177540329,A02,-3.0024540847221184,A03,-3.0048884706556227,A01,-3.0051674751065045,0.0024343859335043128,0.0002790044508818035,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
25,-5,1,early,前期,2,High,0,Low,0,Normal,1,CounterReady,A02,0.04670306211008013,A04,1.0,A04,0.036796322986896994,A02,-3.0089137833757054,0.04670306211008013,A02,-3.0089137833757054,A01,-3.0098645458452142,A03,-3.011534519371557,0.0009507624695088701,0.001669973526342794,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
26,-5,1,early,前期,2,High,0,Low,1,Recover,0,Normal,D15,-0.022508143059170618,D19,0.0,D16,-0.038321244885070944,D15,-3.0910321379946692,-0.022508143059170618,D15,-3.0910321379946692,D16,-3.1091376566656073,D14,-3.1381781824271124,0.018105518670938014,0.029040525761505176,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
27,-5,1,early,前期,2,High,0,Low,1,Recover,1,CounterReady,D15,-0.022508143059170618,D19,0.0,D16,-0.038321244885070944,D15,-3.0910321379946692,-0.022508143059170618,D15,-3.0910321379946692,D16,-3.1091376566656073,D14,-3.1381781824271124,0.018105518670938014,0.029040525761505176,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
28,-5,1,early,前期,2,High,1,Mid,0,Normal,0,Normal,A02,0.053433083836277276,A04,1.0,A04,0.03417471100387235,A02,-2.9880043772130285,0.053433083836277276,A02,-2.9880043772130285,A03,-2.99044702329423,A01,-2.9908274472943055,0.002442646081201705,0.00038042400007531896,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
29,-5,1,early,前期,2,High,1,Mid,0,Normal,1,CounterReady,A02,0.0469764446121716,A04,1.0,A04,0.03840403120967456,A02,-2.9944590106662576,0.0469764446121716,A02,-2.9944590106662576,A01,-2.995501914407531,A03,-2.9970881502146836,0.00104290374127336,0.0015862358071525584,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
30,-5,1,early,前期,2,High,1,Mid,1,Recover,0,Normal,D15,-0.02785344890394867,D19,0.0,D16,-0.07678705873371483,D15,-3.085012260544571,-0.02785344890394867,D15,-3.085012260544571,D16,-3.1398610389007895,D14,-3.157337111600938,0.054848778356218375,0.017476072700148393,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
31,-5,1,early,前期,2,High,1,Mid,1,Recover,1,CounterReady,D15,-0.021538315687910314,D19,0.0,D16,-0.07332800635146042,D15,-3.0786971273285326,-0.021538315687910314,D15,-3.0786971273285326,D16,-3.136401986518535,D14,-3.157337111600938,0.057704859190002455,0.020935125082402806,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
32,-5,1,early,前期,2,High,2,High,0,Normal,0,Normal,A02,0.053433083836277276,A04,1.0,A04,0.03417471100387235,A02,-2.987503949463179,0.053433083836277276,A02,-2.987503949463179,A03,-2.989948460248237,A01,-2.9903339039192294,0.0024445107850579184,0.0003854436709924691,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
33,-5,1,early,前期,2,High,2,High,0,Normal,1,CounterReady,A02,0.0469764446121716,A04,1.0,A04,0.03840403120967456,A02,-2.9939581861033493,0.0469764446121716,A02,-2.9939581861033493,A01,-2.995006573057392,A03,-2.996589203073177,0.001048386954042524,0.0015826300157852913,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
34,-5,1,early,前期,2,High,2,High,1,Recover,0,Normal,D15,-0.032288759397575154,D19,0.0,D16,-0.08201874232709232,D15,-3.090156931605119,-0.032288759397575154,D15,-3.090156931605119,D16,-3.1465262648004293,D14,-3.1610856143053647,0.05636933319531012,0.014559349504935426,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
35,-5,1,early,前期,2,High,2,High,1,Recover,1,CounterReady,D15,-0.02611433694657718,D19,0.0,D16,-0.0785126091822998,D15,-3.083982509154121,-0.02611433694657718,D15,-3.083982509154121,D16,-3.1430201316556365,D14,-3.1610856143053647,0.059037622501515674,0.018065482649728182,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
36,-5,2,early,前期,0,Low,0,Low,0,Normal,0,Normal,A02,0.0538039899236329,A04,1.0,A01,0.05090328735256082,A02,-3.1800218052255733,0.0538039899236329,A02,-3.1800218052255733,A03,-3.181854726543405,A10,-3.1825056198576664,0.0018329213178316373,0.0006508933142614914,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
37,-5,2,early,前期,0,Low,0,Low,0,Normal,1,CounterReady,A02,0.04731863832290556,A04,1.0,A01,0.04617513317822064,A02,-3.186507085473385,0.04731863832290556,A02,-3.186507085473385,A01,-3.187650221921098,A03,-3.188542960527368,0.0011431364477130224,0.0008927386062698162,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
38,-5,2,early,前期,0,Low,0,Low,1,Recover,0,Normal,D15,0.0499765626258781,D19,0.0,D16,0.015193081740643585,D15,-3.1840190343771564,0.0499765626258781,D15,-3.1840190343771564,D16,-3.2190091092315014,D14,-3.2477235408923155,0.03499007485434502,0.02871443166081411,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
39,-5,2,early,前期,0,Low,0,Low,1,Recover,1,CounterReady,D15,0.0499765626258781,D19,0.0,D16,0.015193081740643585,D15,-3.1840190343771564,0.0499765626258781,D15,-3.1840190343771564,D16,-3.2190091092315014,D14,-3.2477235408923155,0.03499007485434502,0.02871443166081411,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
40,-5,2,early,前期,0,Low,1,Mid,0,Normal,0,Normal,A02,0.05407201198450689,A04,1.0,A01,0.05105168593867388,D15,-3.1444475205019766,0.051796363148257425,D15,-3.1444475205019766,A02,-3.1484151669472116,A03,-3.1504451013004586,0.003967646445234951,0.0020299343532470537,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,yield_buffer,defense,平衡恢复
41,-5,2,early,前期,0,Low,1,Mid,0,Normal,1,CounterReady,A02,0.04759202082499703,A04,1.0,A01,0.046347275538111785,A02,-3.1548696143535784,0.04759202082499703,A02,-3.1548696143535784,A01,-3.1562112759583165,A03,-3.157106437602651,0.0013416616047381424,0.0008951616443346744,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
42,-5,2,early,前期,0,Low,1,Mid,1,Recover,0,Normal,D15,0.051796363148257425,D19,0.0,D16,-0.0225307223294174,D15,-3.1444475205019766,0.051796363148257425,D15,-3.1444475205019766,D16,-3.222175818028092,D14,-3.237097803531052,0.07772829752611532,0.014921985502959867,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
43,-5,2,early,前期,0,Low,1,Mid,1,Recover,1,CounterReady,D15,0.05811149636429578,D19,0.0,D16,-0.01907166994716296,D15,-3.1381323872859386,0.05811149636429578,D15,-3.1381323872859386,D16,-3.2187167656458375,D14,-3.237097803531052,0.08058437835989896,0.01838103788521428,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
44,-5,2,early,前期,0,Low,2,High,0,Normal,0,Normal,A02,0.05407201198450689,A04,1.0,A01,0.05105168593867388,A02,-3.1703186690394727,0.05407201198450689,A02,-3.1703186690394727,D15,-3.1705874462269428,A03,-3.1723306936653337,0.0002687771874700928,0.001743247438390938,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
45,-5,2,early,前期,0,Low,2,High,0,Normal,1,CounterReady,A02,0.04759202082499703,A04,1.0,A01,0.046347275538111785,A02,-3.1767721884543936,0.04759202082499703,A02,-3.1767721884543936,A01,-3.1781782992363157,A03,-3.17899074510128,0.0014061107819220986,0.0008124458649643174,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,straight_punch,attack,试探攻击,hook_punch,attack,试探攻击
46,-5,2,early,前期,0,Low,2,High,1,Recover,0,Normal,D15,0.04858673456518,D19,0.0,D16,-0.02727112540672688,D15,-3.1705874462269428,0.04858673456518,D15,-3.1705874462269428,D16,-3.2493900295246343,D14,-3.2609475321155172,0.07880258329769152,0.011557502590882951,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
47,-5,2,early,前期,0,Low,2,High,1,Recover,1,CounterReady,D15,0.05476115701617799,D19,0.0,D16,-0.023764992261934362,D15,-3.164413023775945,0.05476115701617799,D15,-3.164413023775945,D16,-3.2458838963798415,D14,-3.2609475321155172,0.08147087260389663,0.015063635735675707,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
48,-5,2,early,前期,1,Mid,0,Low,0,Normal,0,Normal,A02,0.052960119677149795,A04,1.0,A04,0.02777008182745684,A02,-3.2530146487445926,0.052960119677149795,A02,-3.2530146487445926,A03,-3.255322617074419,A01,-3.2557565479930957,0.002307968329826604,0.000433930918676495,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
49,-5,2,early,前期,1,Mid,0,Low,0,Normal,1,CounterReady,A02,0.04650145600259866,A04,1.0,A04,0.03135743241947728,A02,-3.259471817821783,0.04650145600259866,A02,-3.259471817821783,A01,-3.2604562759585423,A03,-3.2619636151369753,0.00098445813675907,0.0015073391784330425,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
50,-5,2,early,前期,1,Mid,0,Low,1,Recover,0,Normal,D15,-0.0319762269922318,D19,0.0,D16,-0.049960173705173194,D15,-3.3206824122543313,-0.0319762269922318,D15,-3.3206824122543313,D16,-3.3460514984220375,D14,-3.367198935484646,0.02536908616770628,0.021147437062608354,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
51,-5,2,early,前期,1,Mid,0,Low,1,Recover,1,CounterReady,D15,-0.0319762269922318,D19,0.0,D16,-0.049960173705173194,D15,-3.3206824122543313,-0.0319762269922318,D15,-3.3206824122543313,D16,-3.3460514984220375,D14,-3.367198935484646,0.02536908616770628,0.021147437062608354,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
52,-5,2,early,前期,1,Mid,1,Mid,0,Normal,0,Normal,A02,0.05322814173802378,A04,1.0,A04,0.029188647906378228,A02,-3.2388846839932,0.05322814173802378,A02,-3.2388846839932,A03,-3.2411638734185346,A01,-3.241763115813342,0.002279189425334671,0.0005992423948075754,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
53,-5,2,early,前期,1,Mid,1,Mid,0,Normal,1,CounterReady,A02,0.04677483850469013,A04,1.0,A04,0.032804369819977086,A02,-3.245335971688857,0.04677483850469013,A02,-3.245335971688857,A01,-3.246435147185579,A03,-3.2477992008191916,0.0010991754967220047,0.001364053633612805,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
54,-5,2,early,前期,1,Mid,1,Mid,1,Recover,0,Normal,D15,-0.039584827225106096,D19,0.0,D16,-0.09311773231460932,D15,-3.3053643765733702,-0.039584827225106096,D15,-3.3053643765733702,D16,-3.369249359383435,D14,-3.3757743207942554,0.06388498281006472,0.0065249614108204845,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
55,-5,2,early,前期,1,Mid,1,Mid,1,Recover,1,CounterReady,D15,-0.03326969400906774,D19,0.0,D16,-0.0896586799323549,D15,-3.2990492433573317,-0.03326969400906774,D15,-3.2990492433573317,D16,-3.3657903070011805,D14,-3.3757743207942554,0.0667410636438488,0.009984013793074897,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
56,-5,2,early,前期,1,Mid,2,High,0,Normal,0,Normal,A02,0.05322814173802378,A04,1.0,A04,0.029188647906378228,A02,-3.23916451849153,0.05322814173802378,A02,-3.23916451849153,A03,-3.24149635948509,A01,-3.2420311236788253,0.002331840993559986,0.0005347641937354375,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
57,-5,2,early,前期,1,Mid,2,High,0,Normal,1,CounterReady,A02,0.04677483850469013,A04,1.0,A04,0.032804369819977086,A02,-3.2456152834291108,0.04677483850469013,A02,-3.2456152834291108,A01,-3.246700733236477,A03,-3.248131182122133,0.0010854498073662455,0.0014304488856557995,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
58,-5,2,early,前期,1,Mid,2,High,1,Recover,0,Normal,D15,-0.04439035219213815,D19,0.0,D16,-0.09886135591293518,D15,-3.317313723034076,-0.04439035219213815,D15,-3.317313723034076,D16,-3.381744815103117,D14,-3.3866557541049205,0.06443109206904074,0.004910939001803616,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
59,-5,2,early,前期,1,Mid,2,High,1,Recover,1,CounterReady,D15,-0.03821592974114017,D19,0.0,D16,-0.09535522276814266,D15,-3.3111393005830783,-0.03821592974114017,D15,-3.3111393005830783,D16,-3.3782386819583246,D14,-3.3866557541049205,0.06709938137524629,0.008417072146595928,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
60,-5,2,early,前期,2,High,0,Low,0,Normal,0,Normal,A02,0.05316506177540329,A04,1.0,A04,0.03259852647173748,A02,-3.216422585903251,0.05316506177540329,A02,-3.216422585903251,A03,-3.2188602556405894,A01,-3.2191329554415797,0.0024376697373384992,0.000272699800990317,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
61,-5,2,early,前期,2,High,0,Low,0,Normal,1,CounterReady,A02,0.04670306211008013,A04,1.0,A04,0.036796322986896994,A02,-3.2228824030138026,0.04670306211008013,A02,-3.2228824030138026,A01,-3.2238307674491806,A03,-3.2255064069044828,0.0009483644353780463,0.0016756394553021359,hook_punch,attack,试探攻击,swing_punch,attack,激进攻击,swing_punch,attack,激进攻击,hook_punch,attack,试探攻击
62,-5,2,early,前期,2,High,0,Low,1,Recover,0,Normal,D15,-0.022508143059170618,D19,0.0,D16,-0.038321244885070944,D15,-3.3055236646875756,-0.022508143059170618,D15,-3.3055236646875756,D16,-3.3235261303883457,D14,-3.352668522866293,0.01800246570077002,0.029142392477947254,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
63,-5,2,early,前期,2,High,0,Low,1,Recover,1,CounterReady,D15,-0.022508143059170618,D19,0.0,D16,-0.038321244885070944,D15,-3.3055236646875756,-0.022508143059170618,D15,-3.3055236646875756,D16,-3.3235261303883457,D14,-3.352668522866293,0.01800246570077002,0.029142392477947254,yield_buffer,defense,平衡恢复,ground_guard,defense,平衡恢复,step_adjust,defense,平衡恢复,yield_buffer,defense,平衡恢复
