alloc_round1,alloc_round2,alloc_round3,expected_bo3_win
R0-P2-M0,R1-P0-M0,R1-P0-M1,0.947920262925411
R1-P2-M0,R0-P0-M0,R1-P0-M1,0.9479153152813096
R1-P2-M0,R1-P0-M0,R0-P0-M1,0.9479148517202883
R0-P1-M0,R1-P1-M0,R1-P0-M1,0.9479146267429082
R0-P2-M0,R0-P0-M0,R2-P0-M1,0.9479129487921715
R0-P2-M0,R0-P0-M0,R1-P0-M1,0.9479129380156449
R1-P1-M0,R0-P1-M0,R1-P0-M1,0.9479128802402973
R0-P2-M0,R2-P0-M0,R0-P0-M1,0.9479124977947017
R0-P2-M0,R1-P0-M0,R0-P0-M1,0.947912474667282
R0-P1-M0,R0-P1-M0,R2-P0-M1,0.947910717742964
R0-P1-M0,R0-P1-M0,R1-P0-M1,0.9479107072163183
R1-P1-M0,R1-P1-M0,R0-P0-M1,0.9479091921906969
R2-P2-M0,R0-P0-M0,R0-P0-M1,0.9479075346837444
R1-P2-M0,R0-P0-M0,R0-P0-M1,0.9479075274177892
R0-P1-M0,R2-P1-M0,R0-P0-M1,0.9479070383092284
R0-P1-M0,R1-P1-M0,R0-P0-M1,0.9479070191470131
R2-P1-M0,R0-P1-M0,R0-P0-M1,0.9479052801326515
R1-P1-M0,R0-P1-M0,R0-P0-M1,0.947905272964231
R0-P2-M0,R0-P0-M0,R0-P0-M1,0.9479051499364046
R0-P1-M0,R0-P1-M0,R0-P0-M1,0.9479030997233951
R1-P1-M0,R1-P0-M1,R0-P1-M0,0.947670948904983
R0-P1-M0,R1-P0-M1,R1-P1-M0,0.9476700689709634
R0-P1-M0,R2-P0-M1,R0-P1-M0,0.9476687583035371
R0-P1-M0,R1-P0-M1,R0-P1-M0,0.9476687291157326
R1-P1-M0,R0-P0-M1,R1-P1-M0,0.9476599624031867
R2-P1-M0,R0-P0-M1,R0-P1-M0,0.9476586298567883
R1-P1-M0,R0-P0-M1,R0-P1-M0,0.9476586225331592
R0-P1-M0,R0-P0-M1,R2-P1-M0,0.9476577465672038
R0-P1-M0,R0-P0-M1,R1-P1-M0,0.947657742147521
R0-P1-M0,R0-P0-M1,R0-P1-M0,0.9476564022379834
R0-P1-M0,R1-P0-M0,R1-P1-M1,0.9468659598538316
R1-P1-M0,R1-P0-M0,R0-P1-M1,0.9468622750055917
R0-P1-M0,R2-P0-M0,R0-P1-M1,0.9468601162065847
R0-P1-M0,R1-P0-M0,R0-P1-M1,0.9468600901008023
R1-P1-M0,R0-P0-M0,R1-P1-M1,0.9468599549970376
R0-P1-M0,R0-P0-M0,R2-P1-M1,0.9468577782710993
R0-P1-M0,R0-P0-M0,R1-P1-M1,0.9468577698230675
R2-P1-M0,R0-P0-M0,R0-P1-M1,0.9468540927565474
R1-P1-M0,R0-P0-M0,R0-P1-M1,0.9468540855482785
R0-P1-M0,R0-P0-M0,R0-P1-M1,0.9468519002266801
R1-P0-M1,R1-P0-M0,R0-P2-M0,0.9466636087679109
R1-P0-M1,R0-P0-M0,R1-P2-M0,0.9466571209370994
R2-P0-M1,R0-P0-M0,R0-P2-M0,0.9466555908847827
R1-P0-M1,R0-P0-M0,R0-P2-M0,0.9466555740803916
R0-P0-M1,R1-P0-M0,R1-P2-M0,0.9466530138092367
R0-P0-M1,R2-P0-M0,R0-P2-M0,0.9466514922649417
R0-P0-M1,R1-P0-M0,R0-P2-M0,0.9466514666964239
R0-P0-M1,R0-P0-M0,R2-P2-M0,0.9466449815292154
R0-P0-M1,R0-P0-M0,R1-P2-M0,0.94664497680112
R0-P0-M1,R0-P0-M0,R0-P2-M0,0.9466434297286921
R1-P0-M0,R0-P2-M0,R1-P0-M1,0.9459244957132893
R1-P0-M0,R1-P2-M0,R0-P0-M1,0.9459214232535762
R0-P0-M0,R1-P2-M0,R1-P0-M1,0.9459214015990606
R2-P0-M0,R0-P2-M0,R0-P0-M1,0.945916900678519
R1-P0-M0,R0-P2-M0,R0-P0-M1,0.9459168897236532
R0-P0-M0,R0-P2-M0,R2-P0-M1,0.9459168777584418
R0-P0-M0,R0-P2-M0,R1-P0-M1,0.9459168672327541
R0-P0-M0,R2-P2-M0,R0-P0-M1,0.945913816307784
R0-P0-M0,R1-P2-M0,R0-P0-M1,0.9459137946812838
R0-P0-M0,R0-P2-M0,R0-P0-M1,0.9459092604321726
R1-P0-M0,R1-P1-M1,R0-P1-M0,0.9458860549701305
R0-P0-M0,R1-P1-M1,R1-P1-M0,0.9458797892139198
R1-P0-M0,R0-P1-M1,R1-P1-M0,0.9458784768834363
R0-P0-M0,R2-P1-M1,R0-P1-M0,0.9458784388481402
R0-P0-M0,R1-P1-M1,R0-P1-M0,0.945878413547063
R2-P0-M0,R0-P1-M1,R0-P1-M0,0.945877112269684
R1-P0-M0,R0-P1-M1,R0-P1-M0,0.9458771012958769
R0-P0-M0,R0-P1-M1,R2-P1-M0,0.9458708390865684
R0-P0-M0,R0-P1-M1,R1-P1-M0,0.9458708345487137
R0-P0-M0,R0-P1-M1,R0-P1-M0,0.9458694588131096
R1-P0-M0,R0-P1-M0,R1-P1-M1,0.9456807714621313
R1-P0-M0,R1-P1-M0,R0-P1-M1,0.9456793879909774
R0-P0-M0,R1-P1-M0,R1-P1-M1,0.9456777383866597
R2-P0-M0,R0-P1-M0,R0-P1-M1,0.9456749307738164
R1-P0-M0,R0-P1-M0,R0-P1-M1,0.945674920001096
R0-P0-M0,R0-P1-M0,R2-P1-M1,0.9456732780042767
R0-P0-M0,R0-P1-M0,R1-P1-M1,0.9456732695815416
R0-P0-M0,R2-P1-M0,R0-P1-M1,0.9456719083250014
R0-P0-M0,R1-P1-M0,R0-P1-M1,0.9456718862741142
R0-P0-M0,R0-P1-M0,R0-P1-M1,0.9456674175610327
R1-P1-M1,R1-P0-M0,R0-P0-M0,0.9453331268389884
R1-P1-M1,R0-P0-M0,R1-P0-M0,0.9453311446623293
R0-P1-M1,R1-P0-M0,R1-P0-M0,0.9453287696517497
R2-P1-M1,R0-P0-M0,R0-P0-M0,0.9453261490553725
R1-P1-M1,R0-P0-M0,R0-P0-M0,0.9453261355714324
R0-P1-M1,R2-P0-M0,R0-P0-M0,0.945323781798693
R0-P1-M1,R1-P0-M0,R0-P0-M0,0.9453237599212897
R0-P1-M1,R0-P0-M0,R2-P0-M0,0.9453217838982937
R0-P1-M1,R0-P0-M0,R1-P0-M0,0.9453217767050002
R0-P1-M1,R0-P0-M0,R0-P0-M0,0.9453167670833234
R1-P0-M0,R1-P2-M1,R0-P0-M0,0.9451311335469575
R0-P0-M0,R1-P2-M1,R1-P0-M0,0.945128054808519
R1-P0-M0,R0-P2-M1,R1-P0-M0,0.9451267056743694
R0-P0-M0,R2-P2-M1,R0-P0-M0,0.9451233279647429
R0-P0-M0,R1-P2-M1,R0-P0-M0,0.9451233029828716
R2-P0-M0,R0-P2-M1,R0-P0-M0,0.9451219653983033
R1-P0-M0,R0-P2-M1,R0-P0-M0,0.9451219541529425
R0-P0-M0,R0-P2-M1,R2-P0-M0,0.9451188814440629
R0-P0-M0,R0-P2-M1,R1-P0-M0,0.945118874620589
R0-P0-M0,R0-P2-M1,R0-P0-M0,0.9451141225521783
R1-P0-M0,R1-P0-M1,R0-P2-M0,0.9448098750851095
R0-P0-M0,R1-P0-M1,R1-P2-M0,0.9448036742243905
R0-P0-M0,R2-P0-M1,R0-P2-M0,0.9448021977638429
R0-P0-M0,R1-P0-M1,R0-P2-M0,0.9448021646598093
R1-P0-M0,R0-P0-M1,R1-P2-M0,0.9447978571594311
R2-P0-M0,R0-P0-M1,R0-P2-M0,0.9447963587760737
R1-P0-M0,R0-P0-M1,R0-P2-M0,0.94479634770204
R0-P0-M0,R0-P0-M1,R2-P2-M0,0.9447901496384326
R0-P0-M0,R0-P0-M1,R1-P2-M0,0.9447901450248393
R0-P0-M0,R0-P0-M1,R0-P2-M0,0.9447886354185001
R1-P0-M1,R0-P1-M0,R1-P0-M0,0.9447071069858523
R1-P0-M1,R1-P1-M0,R0-P0-M0,0.9447059848087389
R2-P0-M1,R0-P1-M0,R0-P0-M0,0.9447021967027148
R1-P0-M1,R0-P1-M0,R0-P0-M0,0.944702179310214
R0-P0-M1,R1-P1-M0,R1-P0-M0,0.9446983450131635
R0-P0-M1,R0-P1-M0,R2-P0-M0,0.9446945454700781
R0-P0-M1,R0-P1-M0,R1-P0-M0,0.9446945383933311
R0-P0-M1,R2-P1-M0,R0-P0-M0,0.9446934349666004
R0-P0-M1,R1-P1-M0,R0-P0-M0,0.9446934164925723
R0-P0-M1,R0-P1-M0,R0-P0-M0,0.9446896099380103
R0-P1-M0,R1-P0-M1,R1-P0-M0,0.9442884455197679
R1-P1-M0,R1-P0-M1,R0-P0-M0,0.9442859478574149
R0-P1-M0,R2-P0-M1,R0-P0-M0,0.9442836571358068
R0-P1-M0,R1-P0-M1,R0-P0-M0,0.9442836282328189
R1-P1-M0,R0-P0-M1,R1-P0-M0,0.9442783016066412
R0-P1-M0,R0-P0-M1,R2-P0-M0,0.9442759885500565
R0-P1-M0,R0-P0-M1,R1-P0-M0,0.9442759816326551
R2-P1-M0,R0-P0-M1,R0-P0-M0,0.9442734919193793
R1-P1-M0,R0-P0-M1,R0-P0-M0,0.9442734842664918
R0-P1-M0,R0-P0-M1,R0-P0-M0,0.9442711641504523
R0-P1-M0,R1-P1-M0,R1-P0-M0,0.943987316566191
R1-P1-M0,R0-P1-M0,R1-P0-M0,0.9439857351704809
R1-P1-M0,R1-P1-M0,R0-P0-M0,0.9439846288546928
R0-P1-M0,R0-P1-M0,R2-P0-M0,0.9439834573374176
R0-P1-M0,R0-P1-M0,R1-P0-M0,0.9439834501973307
R0-P1-M0,R2-P1-M0,R0-P0-M0,0.9439823627112269
R0-P1-M0,R1-P1-M0,R0-P0-M0,0.943982343931784
R2-P1-M0,R0-P1-M0,R0-P0-M0,0.9439807702825634
R1-P1-M0,R0-P1-M0,R0-P0-M0,0.9439807627451271
R0-P1-M0,R0-P1-M0,R0-P0-M0,0.9439784776302304
R0-P2-M0,R1-P0-M0,R1-P0-M0,0.9438996885112122
R1-P2-M0,R1-P0-M0,R0-P0-M0,0.9438970861403817
R1-P2-M0,R0-P0-M0,R1-P0-M0,0.9438949445781131
R0-P2-M0,R2-P0-M0,R0-P0-M0,0.9438946204602101
R0-P2-M0,R1-P0-M0,R0-P0-M0,0.9438945977886138
R0-P2-M0,R0-P0-M0,R2-P0-M0,0.9438924632597421
R0-P2-M0,R0-P0-M0,R1-P0-M0,0.943892455950164
R2-P2-M0,R0-P0-M0,R0-P0-M0,0.9438898617195144
R1-P2-M0,R0-P0-M0,R0-P0-M0,0.943889854113447
R0-P2-M0,R0-P0-M0,R0-P0-M0,0.9438873653444947
R1-P0-M1,R1-P0-M0,R0-P1-M0,0.9438541444922522
R1-P0-M1,R0-P0-M0,R1-P1-M0,0.9438476583685705
R2-P0-M1,R0-P0-M0,R0-P1-M0,0.9438462004585457
R1-P0-M1,R0-P0-M0,R0-P1-M0,0.9438461831120278
R0-P0-M1,R1-P0-M0,R1-P1-M0,0.9438430860929508
R0-P0-M1,R2-P0-M0,R0-P1-M0,0.9438416358185944
R0-P0-M1,R1-P0-M0,R0-P1-M0,0.9438416105921577
R0-P0-M1,R0-P0-M0,R2-P1-M0,0.9438351273002081
R0-P0-M1,R0-P0-M0,R1-P1-M0,0.9438351224334055
R0-P0-M1,R0-P0-M0,R0-P1-M0,0.943833646971128
R1-P0-M0,R1-P0-M0,R0-P2-M1,0.943777641614237
R0-P0-M0,R1-P0-M0,R1-P2-M1,0.9437762654219471
R1-P0-M0,R0-P0-M0,R1-P2-M1,0.9437745966429333
R0-P0-M0,R2-P0-M0,R0-P2-M1,0.9437700225978589
R0-P0-M0,R1-P0-M0,R0-P2-M1,0.9437699926805942
R2-P0-M0,R0-P0-M0,R0-P2-M1,0.9437683356152498
R1-P0-M0,R0-P0-M0,R0-P2-M1,0.9437683246299983
R0-P0-M0,R0-P0-M0,R2-P2-M1,0.9437669555775288
R0-P0-M0,R0-P0-M0,R1-P2-M1,0.9437669467232523
R0-P0-M0,R0-P0-M0,R0-P2-M1,0.9437606741769891
R0-P1-M0,R1-P0-M0,R1-P0-M1,0.9436034667344174
R1-P1-M0,R0-P0-M0,R1-P0-M1,0.9435976309954344
R1-P1-M0,R1-P0-M0,R0-P0-M1,0.9435975536727916
R0-P1-M0,R0-P0-M0,R2-P0-M1,0.9435953750861619
R0-P1-M0,R0-P0-M0,R1-P0-M1,0.9435953637675084
R0-P1-M0,R2-P0-M0,R0-P0-M1,0.943595312350959
R0-P1-M0,R1-P0-M0,R0-P0-M1,0.9435952866476806
R2-P1-M0,R0-P0-M0,R0-P0-M1,0.9435894588118435
R1-P1-M0,R0-P0-M0,R0-P0-M1,0.9435894513327285
R0-P1-M0,R0-P0-M0,R0-P0-M1,0.9435871838990677
R1-P1-M0,R1-P0-M0,R0-P1-M0,0.9431347638416588
R0-P1-M0,R1-P0-M0,R1-P1-M0,0.943133972317341
R0-P1-M0,R2-P0-M0,R0-P1-M0,0.9431325108218218
R0-P1-M0,R1-P0-M0,R0-P1-M0,0.9431324851756002
R1-P1-M0,R0-P0-M0,R1-P1-M0,0.9431281609155335
R2-P1-M0,R0-P0-M0,R0-P1-M0,0.9431266813683905
R1-P1-M0,R0-P0-M0,R0-P1-M0,0.9431266738508819
R0-P1-M0,R0-P0-M0,R2-P1-M0,0.943125886784695
R0-P1-M0,R0-P0-M0,R1-P1-M0,0.9431258818794986
R0-P1-M0,R0-P0-M0,R0-P1-M0,0.9431243947774443
R1-P0-M0,R0-P1-M0,R1-P0-M1,0.9424284452960282
R0-P0-M0,R1-P1-M0,R1-P0-M1,0.9424250501017786
R1-P0-M0,R1-P1-M0,R0-P0-M1,0.9424247075137784
R0-P0-M0,R0-P1-M0,R2-P0-M1,0.9424206437366741
R0-P0-M0,R0-P1-M0,R1-P0-M1,0.9424206324519131
R2-P0-M0,R0-P1-M0,R0-P0-M1,0.9424203019205587
R1-P0-M0,R0-P1-M0,R0-P0-M1,0.9424202907010111
R0-P0-M0,R2-P1-M0,R0-P0-M1,0.9424169163042593
R0-P0-M0,R1-P1-M0,R0-P0-M1,0.9424168945988168
R0-P0-M0,R0-P1-M0,R0-P0-M1,0.9424124770772134
R1-P0-M0,R1-P1-M1,R0-P0-M0,0.9424108512373622
R0-P0-M0,R1-P1-M1,R1-P0-M0,0.9424077817930161
R1-P0-M0,R0-P1-M1,R1-P0-M0,0.9424066695988789
R0-P0-M0,R2-P1-M1,R0-P0-M0,0.9424028608080711
R0-P0-M0,R1-P1-M1,R0-P0-M0,0.9424028357497097
R2-P0-M0,R0-P1-M1,R0-P0-M0,0.9424017353515514
R1-P0-M0,R0-P1-M1,R0-P0-M0,0.9424017238406763
R0-P0-M0,R0-P1-M1,R2-P0-M0,0.9423986607208382
R0-P0-M0,R0-P1-M1,R1-P0-M0,0.9423986536184816
R0-P0-M0,R0-P1-M1,R0-P0-M0,0.9423937073280028
R1-P0-M0,R1-P0-M1,R0-P1-M0,0.9420684843892709
R0-P0-M0,R1-P0-M1,R1-P1-M0,0.9420619430968715
R0-P0-M0,R2-P0-M1,R0-P1-M0,0.942060536230346
R0-P0-M0,R1-P0-M1,R0-P1-M0,0.9420605034062952
R1-P0-M0,R0-P0-M1,R1-P1-M0,0.942056320714901
R2-P0-M0,R0-P0-M1,R0-P1-M0,0.9420548925890231
R1-P0-M0,R0-P0-M1,R0-P1-M0,0.9420548811265532
R0-P0-M0,R0-P0-M1,R2-P1-M0,0.942048342803927
R0-P0-M0,R0-P0-M1,R1-P1-M0,0.9420483380549858
R0-P0-M0,R0-P0-M1,R0-P1-M0,0.9420468983245844
R1-P0-M0,R0-P2-M0,R1-P0-M0,0.9419980147441825
R1-P0-M0,R1-P2-M0,R0-P0-M0,0.9419975162489602
R0-P0-M0,R1-P2-M0,R1-P0-M0,0.9419944414910053
R2-P0-M0,R0-P2-M0,R0-P0-M0,0.9419930547152756
R1-P0-M0,R0-P2-M0,R0-P0-M0,0.9419930431596917
R0-P0-M0,R0-P2-M0,R2-P0-M0,0.9419899747644718
R0-P0-M0,R0-P2-M0,R1-P0-M0,0.9419899676250345
R0-P0-M0,R2-P2-M0,R0-P0-M0,0.9419894904753681
R0-P0-M0,R1-P2-M0,R0-P0-M0,0.9419894692998442
R0-P0-M0,R0-P2-M0,R0-P0-M0,0.941984995510477
R1-P0-M0,R1-P1-M0,R0-P1-M0,0.9419633410218512
R1-P0-M0,R0-P1-M0,R1-P1-M0,0.9419604139710238
R2-P0-M0,R0-P1-M0,R0-P1-M0,0.9419589427465717
R1-P0-M0,R0-P1-M0,R0-P1-M0,0.941958931463684
R0-P0-M0,R1-P1-M0,R1-P1-M0,0.9419569666654781
R0-P0-M0,R2-P1-M0,R0-P1-M0,0.9419555056495477
R0-P0-M0,R1-P1-M0,R0-P1-M0,0.9419554839930737
R0-P0-M0,R0-P1-M0,R2-P1-M0,0.9419525612677013
R0-P0-M0,R0-P1-M0,R1-P1-M0,0.9419525563771931
R0-P0-M0,R0-P1-M0,R0-P1-M0,0.9419510737281068
R1-P0-M0,R1-P0-M0,R0-P1-M1,0.9413478544128077
R0-P0-M0,R1-P0-M0,R1-P1-M1,0.9413462416214574
R1-P0-M0,R0-P0-M0,R1-P1-M1,0.9413448550272462
R0-P0-M0,R2-P0-M0,R0-P1-M1,0.94134002844197
R0-P0-M0,R1-P0-M0,R0-P1-M1,0.9413399988526789
R2-P0-M0,R0-P0-M0,R0-P1-M1,0.9413386242653206
R1-P0-M0,R0-P0-M0,R0-P1-M1,0.9413386129834049
R0-P0-M0,R0-P0-M0,R2-P1-M1,0.9413370074841663
R0-P0-M0,R0-P0-M0,R1-P1-M1,0.9413369984993118
R0-P0-M0,R0-P0-M0,R0-P1-M1,0.9413307559246908
R1-P0-M0,R1-P0-M0,R0-P2-M0,0.9403954418496308
R0-P0-M0,R1-P0-M0,R1-P2-M0,0.940389163708938
R1-P0-M0,R0-P0-M0,R1-P2-M0,0.9403878882547253
R0-P0-M0,R2-P0-M0,R0-P2-M0,0.9403875347580977
R0-P0-M0,R1-P0-M0,R0-P2-M0,0.9403875052973638
R2-P0-M0,R0-P0-M0,R0-P2-M0,0.9403862414339332
R1-P0-M0,R0-P0-M0,R0-P2-M0,0.940386230035733
R0-P0-M0,R0-P0-M0,R2-P2-M0,0.9403799554212297
R0-P0-M0,R0-P0-M0,R1-P2-M0,0.9403799503530219
R0-P0-M0,R0-P0-M0,R0-P2-M0,0.9403782919930264
R1-P0-M1,R1-P0-M0,R0-P0-M0,0.9401268593198584
R1-P0-M1,R0-P0-M0,R1-P0-M0,0.9401242993015526
R0-P0-M1,R1-P0-M0,R1-P0-M0,0.9401191105691992
R2-P0-M1,R0-P0-M0,R0-P0-M0,0.9401190132613626
R1-P0-M1,R0-P0-M0,R0-P0-M0,0.9401189951956109
R0-P0-M1,R2-P0-M0,R0-P0-M0,0.9401138303576865
R0-P0-M1,R1-P0-M0,R0-P0-M0,0.9401138055850848
R0-P0-M1,R0-P0-M0,R2-P0-M0,0.9401112517351543
R0-P0-M1,R0-P0-M0,R1-P0-M0,0.94011124411795
R0-P0-M1,R0-P0-M0,R0-P0-M0,0.9401059392723137
R0-P1-M0,R1-P0-M0,R1-P0-M0,0.939380616529034
R1-P1-M0,R1-P0-M0,R0-P0-M0,0.9393776428634334
R0-P1-M0,R2-P0-M0,R0-P0-M0,0.9393752948743148
R0-P1-M0,R1-P0-M0,R0-P0-M0,0.9393752696913049
R1-P1-M0,R0-P0-M0,R1-P0-M0,0.939374999689879
R0-P1-M0,R0-P0-M0,R2-P0-M0,0.9393726339316486
R0-P1-M0,R0-P0-M0,R1-P0-M0,0.9393726262543529
R2-P1-M0,R0-P0-M0,R0-P0-M0,0.9393696609585189
R1-P1-M0,R0-P0-M0,R0-P0-M0,0.939369653129314
R0-P1-M0,R0-P0-M0,R0-P0-M0,0.9393672795593111
R1-P0-M0,R1-P0-M1,R0-P0-M0,0.9384315116821016
R0-P0-M0,R1-P0-M1,R1-P0-M0,0.938428347986075
R0-P0-M0,R2-P0-M1,R0-P0-M0,0.938423204205852
R0-P0-M0,R1-P0-M1,R0-P0-M0,0.9384231717532513
R1-P0-M0,R0-P0-M1,R1-P0-M0,0.9384229836159675
R2-P0-M0,R0-P0-M1,R0-P0-M0,0.9384178197284981
R1-P0-M0,R0-P0-M1,R0-P0-M0,0.9384178077506942
R0-P0-M0,R0-P0-M1,R2-P0-M0,0.9384146498636636
R0-P0-M0,R0-P0-M1,R1-P0-M0,0.9384146424309284
R0-P0-M0,R0-P0-M1,R0-P0-M0,0.9384094660549187
R1-P0-M0,R0-P1-M0,R1-P0-M0,0.9382187548182845
R1-P0-M0,R1-P1-M0,R0-P0-M0,0.938217775305277
R0-P0-M0,R1-P1-M0,R1-P0-M0,0.9382148909109064
R2-P0-M0,R0-P1-M0,R0-P0-M0,0.9382134364400887
R1-P0-M0,R0-P1-M0,R0-P0-M0,0.9382134246429814
R0-P0-M0,R0-P1-M0,R2-P0-M0,0.9382105471288112
R0-P0-M0,R0-P1-M0,R1-P0-M0,0.9382105394745045
R0-P0-M0,R2-P1-M0,R0-P0-M0,0.9382095814010614
R0-P0-M0,R1-P1-M0,R0-P0-M0,0.9382095601421336
R0-P0-M0,R0-P1-M0,R0-P0-M0,0.9382052087895691
R0-P0-M0,R1-P0-M0,R1-P0-M1,0.9378764209861085
R1-P0-M0,R1-P0-M0,R0-P0-M1,0.9378758718784757
R1-P0-M0,R0-P0-M0,R1-P0-M1,0.937875437322375
R0-P0-M0,R2-P0-M0,R0-P0-M1,0.9378677501853341
R0-P0-M0,R1-P0-M0,R0-P0-M1,0.9378677210646926
R0-P0-M0,R0-P0-M0,R2-P0-M1,0.9378672978172831
R0-P0-M0,R0-P0-M0,R1-P0-M1,0.9378672857793959
R2-P0-M0,R0-P0-M0,R0-P0-M1,0.937866750117058
R1-P0-M0,R0-P0-M0,R0-P0-M1,0.9378667384112315
R0-P0-M0,R0-P0-M0,R0-P0-M1,0.9378585861285578
R1-P0-M0,R1-P0-M0,R0-P1-M0,0.9373837017827875
R0-P0-M0,R1-P0-M0,R1-P1-M0,0.9373770907632004
R1-P0-M0,R0-P0-M0,R1-P1-M0,0.9373761650838374
R0-P0-M0,R2-P0-M0,R0-P1-M0,0.9373755381695978
R0-P0-M0,R1-P0-M0,R0-P1-M0,0.9373755091153898
R2-P0-M0,R0-P0-M0,R0-P1-M0,0.9373745953856125
R1-P0-M0,R0-P0-M0,R0-P1-M0,0.9373745836196945
R0-P0-M0,R0-P0-M0,R2-P1-M0,0.9373679763031276
