scope,diagnostic_type,rank,mdp_action_id,mdp_action_name,macro_group,count,share,cumulative_share
health_my:2,action,1,A04,swing_punch,激进攻击,764,0.5787878787878787,0.5787878787878787
health_my:2,action,2,A02,hook_punch,试探攻击,354,0.2681818181818182,0.8469696969696969
health_my:2,action,3,D01,cross_block,保守防守,159,0.12045454545454545,0.9674242424242424
health_my:2,action,4,D03,elbow_block,保守防守,40,0.030303030303030304,0.9977272727272727
health_my:2,action,5,D06,lateral_slip,反击防守,3,0.0022727272727272726,1.0
health_my:2,macro,1,,,激进攻击,764,0.5787878787878787,0.5787878787878787
health_my:2,macro,2,,,试探攻击,354,0.2681818181818182,0.8469696969696969
health_my:2,macro,3,,,保守防守,199,0.15075757575757576,0.9977272727272727
health_my:2,macro,4,,,反击防守,3,0.0022727272727272726,1.0
counter_ready:0,action,1,A04,swing_punch,激进攻击,789,0.3984848484848485,0.3984848484848485
counter_ready:0,action,2,A02,hook_punch,试探攻击,529,0.26717171717171717,0.6656565656565656
counter_ready:0,action,3,D15,yield_buffer,平衡恢复,379,0.19141414141414143,0.8570707070707071
counter_ready:0,action,4,D01,cross_block,保守防守,198,0.1,0.9570707070707071
counter_ready:0,action,5,D06,lateral_slip,反击防守,58,0.029292929292929294,0.9863636363636363
counter_ready:0,action,6,D03,elbow_block,保守防守,20,0.010101010101010102,0.9964646464646464
counter_ready:0,action,7,D04,downward_block,保守防守,7,0.0035353535353535356,0.9999999999999999
counter_ready:0,macro,1,,,激进攻击,789,0.3984848484848485,0.3984848484848485
counter_ready:0,macro,2,,,试探攻击,529,0.26717171717171717,0.6656565656565656
counter_ready:0,macro,3,,,平衡恢复,379,0.19141414141414143,0.8570707070707071
counter_ready:0,macro,4,,,保守防守,225,0.11363636363636363,0.9707070707070707
counter_ready:0,macro,5,,,反击防守,58,0.029292929292929294,1.0
counter_ready:1,action,1,A04,swing_punch,激进攻击,1099,0.555050505050505,0.555050505050505
counter_ready:1,action,2,A02,hook_punch,试探攻击,548,0.2767676767676768,0.8318181818181818
counter_ready:1,action,3,D01,cross_block,保守防守,245,0.12373737373737374,0.9555555555555555
counter_ready:1,action,4,D06,lateral_slip,反击防守,61,0.03080808080808081,0.9863636363636363
counter_ready:1,action,5,D03,elbow_block,保守防守,20,0.010101010101010102,0.9964646464646464
counter_ready:1,action,6,D04,downward_block,保守防守,7,0.0035353535353535356,0.9999999999999999
counter_ready:1,macro,1,,,激进攻击,1099,0.555050505050505,0.555050505050505
counter_ready:1,macro,2,,,试探攻击,548,0.2767676767676768,0.8318181818181818
counter_ready:1,macro,3,,,保守防守,272,0.13737373737373737,0.9691919191919192
counter_ready:1,macro,4,,,反击防守,61,0.03080808080808081,1.0
scenario:领先局,action,1,A02,hook_punch,试探攻击,490,0.3402777777777778,0.3402777777777778
scenario:领先局,action,2,D01,cross_block,保守防守,443,0.3076388888888889,0.6479166666666667
scenario:领先局,action,3,A04,swing_punch,激进攻击,273,0.18958333333333333,0.8375
scenario:领先局,action,4,D15,yield_buffer,平衡恢复,162,0.1125,0.9500000000000001
scenario:领先局,action,5,D03,elbow_block,保守防守,40,0.027777777777777776,0.9777777777777779
scenario:领先局,action,6,D06,lateral_slip,反击防守,18,0.0125,0.9902777777777778
scenario:领先局,action,7,D04,downward_block,保守防守,14,0.009722222222222222,1.0
scenario:领先局,macro,1,,,保守防守,497,0.3451388888888889,0.3451388888888889
scenario:领先局,macro,2,,,试探攻击,490,0.3402777777777778,0.6854166666666667
scenario:领先局,macro,3,,,激进攻击,273,0.18958333333333333,0.875
scenario:领先局,macro,4,,,平衡恢复,162,0.1125,0.9875
scenario:领先局,macro,5,,,反击防守,18,0.0125,1.0
scenario:平局局,action,1,A04,swing_punch,激进攻击,318,0.8833333333333333,0.8833333333333333
scenario:平局局,action,2,D15,yield_buffer,平衡恢复,40,0.1111111111111111,0.9944444444444445
scenario:平局局,action,3,A02,hook_punch,试探攻击,2,0.005555555555555556,1.0
scenario:平局局,macro,1,,,激进攻击,318,0.8833333333333333,0.8833333333333333
scenario:平局局,macro,2,,,平衡恢复,40,0.1111111111111111,0.9944444444444445
scenario:平局局,macro,3,,,试探攻击,2,0.005555555555555556,1.0
scenario:落后局,action,1,A04,swing_punch,激进攻击,936,0.65,0.65
scenario:落后局,action,2,A02,hook_punch,试探攻击,333,0.23125,0.8812500000000001
scenario:落后局,action,3,D15,yield_buffer,平衡恢复,137,0.09513888888888888,0.976388888888889
scenario:落后局,action,4,D06,lateral_slip,反击防守,34,0.02361111111111111,1.0
scenario:落后局,macro,1,,,激进攻击,936,0.65,0.65
scenario:落后局,macro,2,,,试探攻击,333,0.23125,0.8812500000000001
scenario:落后局,macro,3,,,平衡恢复,137,0.09513888888888888,0.976388888888889
scenario:落后局,macro,4,,,反击防守,34,0.02361111111111111,1.0
