action_id,defense_id,defense_category,defense_role,primary_score,p_block,counter_prob_effective,counter_window,p_fall,profile_weight
A09,D05,block,active_primary,0.2005495354385259,0.4934348944256467,0.0,0.0,0.0525434270275276,0.659562078003553
A09,D03,block,active_primary,0.0611822313207721,0.2220806030635679,0.0,0.0094432800143933,0.0640102911502454,0.11552475028029514
A09,D06,evade,active_primary,0.0314743461227354,0.1661420832671545,0.0,0.0419953633477266,0.0776941304997709,0.07968937226532773
A09,D08,evade,active_primary,0.0253106424027738,0.1907565033188934,0.0,0.0,0.1177591136733031,0.07378016537827664
A09,D04,block,active_primary,0.0227361520411402,0.142455269356664,0.0,0.02571932168106,0.0608445366073663,0.07144363407254738
A10,D20,combo,active_combo,0.0613453058797386,0.208899143374022,0.0,0.0911751167408078,0.1146630976467564,0.24766839534778934
A10,D22,combo,active_combo,0.0545182930093078,0.2062302079367753,0.0,0.0836270451230673,0.1566964167339056,0.22740966327233178
A10,D03,block,active_primary,0.0439019399716317,0.1734074718198283,0.0,0.0787892182067929,0.1126180092256362,0.19914807869296305
A10,D02,block,active_primary,0.0306595982530716,0.1451875090352017,0.0,0.0704610466450831,0.0942520175886625,0.16876705487333726
A10,D01,block,active_primary,0.0248811803103708,0.1347925341466898,0.0,0.0636574576081011,0.0769184949737412,0.15700680781357854
A11,D22,combo,active_combo,0.0223309634383188,0.1584835402750955,0.0,0.0762459160556182,0.56616869265189,0.23624552386104994
A11,D20,combo,active_combo,0.0193626283199364,0.1371185723237151,0.0,0.0682822465705402,0.426247332699295,0.22764045456561077
A11,D21,combo,active_combo,0.0,0.117089760854665,0.0,0.0544855100711739,0.8787427404440139,0.1787046738577798
A11,D07,evade,active_primary,0.0,0.0651511166633869,0.0,0.0320530178316493,1.0,0.1787046738577798
A11,D10,evade,active_primary,0.0,0.0340056908613786,0.0,0.0161939839212144,1.0,0.1787046738577798
A12,D06,evade,active_primary,0.0942516778108391,0.2442982937339445,0.2442982937339445,0.3735703124999999,0.3675491609365666,0.4481499712948225
A12,D22,combo,active_combo,0.0,0.1202243858483449,0.1156575289692446,0.2886041666666666,0.547525219392441,0.1379625071762944
A12,D10,evade,active_primary,0.0,0.1085518766845833,0.1003058916770591,0.2772109374999998,1.0,0.1379625071762944
A12,D21,combo,active_combo,0.0,0.0929928002075328,0.0780574461325348,0.2518177083333332,0.8350354319603099,0.1379625071762944
A12,D20,combo,active_combo,0.0,0.086493788586241,0.086493788586241,0.3279973958333332,0.4174178626195468,0.1379625071762944
A13,D05,block,active_primary,0.1798459144677938,0.4206631048810549,0.0,0.0,0.2207237587511258,0.2621389673063037
A13,D04,block,active_primary,0.1625047946946491,0.3726153856924294,0.0,0.0,0.1635059043771703,0.2110533142110521
A13,D22,combo,active_combo,0.1616280728460466,0.3921791022875655,0.0,0.0,0.2661789625198479,0.20875300366417557
A13,D03,block,active_primary,0.1438835134920783,0.3412372277407167,0.0,0.0,0.1991035582346568,0.1672257607933386
A13,D20,combo,active_combo,0.1356276478480441,0.3275990628745631,0.0,0.0,0.2161990233174617,0.15082895402512994
