state_index,score_diff,time_step,time_phase,health_my,health_opp,recovery_lock,counter_ready,top1_action_id,top1_q,top2_action_id,top2_q,top3_action_id,top3_q,q_gap_12,q_gap_23
24,-5,1,early,2,0,0,0,A02,-3.0024540847221184,A03,-3.0048884706556227,A01,-3.0051674751065045,0.0024343859335043128,0.0002790044508818035
25,-5,1,early,2,0,0,1,A02,-3.0089137833757054,A01,-3.0098645458452142,A03,-3.011534519371557,0.0009507624695088701,0.001669973526342794
26,-5,1,early,2,0,1,0,D15,-3.0910321379946692,D16,-3.1091376566656073,D14,-3.1381781824271124,0.018105518670938014,0.029040525761505176
27,-5,1,early,2,0,1,1,D15,-3.0910321379946692,D16,-3.1091376566656073,D14,-3.1381781824271124,0.018105518670938014,0.029040525761505176
28,-5,1,early,2,1,0,0,A02,-2.9880043772130285,A03,-2.99044702329423,A01,-2.9908274472943055,0.002442646081201705,0.00038042400007531896
29,-5,1,early,2,1,0,1,A02,-2.9944590106662576,A01,-2.995501914407531,A03,-2.9970881502146836,0.00104290374127336,0.0015862358071525584
30,-5,1,early,2,1,1,0,D15,-3.085012260544571,D16,-3.1398610389007895,D14,-3.157337111600938,0.054848778356218375,0.017476072700148393
31,-5,1,early,2,1,1,1,D15,-3.0786971273285326,D16,-3.136401986518535,D14,-3.157337111600938,0.057704859190002455,0.020935125082402806
32,-5,1,early,2,2,0,0,A02,-2.987503949463179,A03,-2.989948460248237,A01,-2.9903339039192294,0.0024445107850579184,0.0003854436709924691
33,-5,1,early,2,2,0,1,A02,-2.9939581861033493,A01,-2.995006573057392,A03,-2.996589203073177,0.001048386954042524,0.0015826300157852913
34,-5,1,early,2,2,1,0,D15,-3.090156931605119,D16,-3.1465262648004293,D14,-3.1610856143053647,0.05636933319531012,0.014559349504935426
35,-5,1,early,2,2,1,1,D15,-3.083982509154121,D16,-3.1430201316556365,D14,-3.1610856143053647,0.059037622501515674,0.018065482649728182
36,-5,2,early,0,0,0,0,A02,-3.1800218052255733,A03,-3.181854726543405,A10,-3.1825056198576664,0.0018329213178316373,0.0006508933142614914
37,-5,2,early,0,0,0,1,A02,-3.186507085473385,A01,-3.187650221921098,A03,-3.188542960527368,0.0011431364477130224,0.0008927386062698162
38,-5,2,early,0,0,1,0,D15,-3.1840190343771564,D16,-3.2190091092315014,D14,-3.2477235408923155,0.03499007485434502,0.02871443166081411
39,-5,2,early,0,0,1,1,D15,-3.1840190343771564,D16,-3.2190091092315014,D14,-3.2477235408923155,0.03499007485434502,0.02871443166081411
40,-5,2,early,0,1,0,0,D15,-3.1444475205019766,A02,-3.1484151669472116,A03,-3.1504451013004586,0.003967646445234951,0.0020299343532470537
41,-5,2,early,0,1,0,1,A02,-3.1548696143535784,A01,-3.1562112759583165,A03,-3.157106437602651,0.0013416616047381424,0.0008951616443346744
42,-5,2,early,0,1,1,0,D15,-3.1444475205019766,D16,-3.222175818028092,D14,-3.237097803531052,0.07772829752611532,0.014921985502959867
43,-5,2,early,0,1,1,1,D15,-3.1381323872859386,D16,-3.2187167656458375,D14,-3.237097803531052,0.08058437835989896,0.01838103788521428
44,-5,2,early,0,2,0,0,A02,-3.1703186690394727,D15,-3.1705874462269428,A03,-3.1723306936653337,0.0002687771874700928,0.001743247438390938
45,-5,2,early,0,2,0,1,A02,-3.1767721884543936,A01,-3.1781782992363157,A03,-3.17899074510128,0.0014061107819220986,0.0008124458649643174
46,-5,2,early,0,2,1,0,D15,-3.1705874462269428,D16,-3.2493900295246343,D14,-3.2609475321155172,0.07880258329769152,0.011557502590882951
47,-5,2,early,0,2,1,1,D15,-3.164413023775945,D16,-3.2458838963798415,D14,-3.2609475321155172,0.08147087260389663,0.015063635735675707
48,-5,2,early,1,0,0,0,A02,-3.2530146487445926,A03,-3.255322617074419,A01,-3.2557565479930957,0.002307968329826604,0.000433930918676495
49,-5,2,early,1,0,0,1,A02,-3.259471817821783,A01,-3.2604562759585423,A03,-3.2619636151369753,0.00098445813675907,0.0015073391784330425
50,-5,2,early,1,0,1,0,D15,-3.3206824122543313,D16,-3.3460514984220375,D14,-3.367198935484646,0.02536908616770628,0.021147437062608354
51,-5,2,early,1,0,1,1,D15,-3.3206824122543313,D16,-3.3460514984220375,D14,-3.367198935484646,0.02536908616770628,0.021147437062608354
52,-5,2,early,1,1,0,0,A02,-3.2388846839932,A03,-3.2411638734185346,A01,-3.241763115813342,0.002279189425334671,0.0005992423948075754
53,-5,2,early,1,1,0,1,A02,-3.245335971688857,A01,-3.246435147185579,A03,-3.2477992008191916,0.0010991754967220047,0.001364053633612805
54,-5,2,early,1,1,1,0,D15,-3.3053643765733702,D16,-3.369249359383435,D14,-3.3757743207942554,0.06388498281006472,0.0065249614108204845
55,-5,2,early,1,1,1,1,D15,-3.2990492433573317,D16,-3.3657903070011805,D14,-3.3757743207942554,0.0667410636438488,0.009984013793074897
56,-5,2,early,1,2,0,0,A02,-3.23916451849153,A03,-3.24149635948509,A01,-3.2420311236788253,0.002331840993559986,0.0005347641937354375
57,-5,2,early,1,2,0,1,A02,-3.2456152834291108,A01,-3.246700733236477,A03,-3.248131182122133,0.0010854498073662455,0.0014304488856557995
58,-5,2,early,1,2,1,0,D15,-3.317313723034076,D16,-3.381744815103117,D14,-3.3866557541049205,0.06443109206904074,0.004910939001803616
59,-5,2,early,1,2,1,1,D15,-3.3111393005830783,D16,-3.3782386819583246,D14,-3.3866557541049205,0.06709938137524629,0.008417072146595928
60,-5,2,early,2,0,0,0,A02,-3.216422585903251,A03,-3.2188602556405894,A01,-3.2191329554415797,0.0024376697373384992,0.000272699800990317
61,-5,2,early,2,0,0,1,A02,-3.2228824030138026,A01,-3.2238307674491806,A03,-3.2255064069044828,0.0009483644353780463,0.0016756394553021359
62,-5,2,early,2,0,1,0,D15,-3.3055236646875756,D16,-3.3235261303883457,D14,-3.352668522866293,0.01800246570077002,0.029142392477947254
63,-5,2,early,2,0,1,1,D15,-3.3055236646875756,D16,-3.3235261303883457,D14,-3.352668522866293,0.01800246570077002,0.029142392477947254
64,-5,2,early,2,1,0,0,A02,-3.20147338915729,A03,-3.2039195510368477,A01,-3.20429290969609,0.0024461618795577067,0.00037335865924248424
65,-5,2,early,2,1,0,1,A02,-3.207928161446747,A01,-3.2089682217704585,A03,-3.210560799725598,0.0010400603237115114,0.0015925779551393404
66,-5,2,early,2,1,1,0,D15,-3.299203784021274,D16,-3.353958387147419,D14,-3.3715187416506307,0.054754603126144996,0.017560354503211695
67,-5,2,early,2,1,1,1,D15,-3.292888650805236,D16,-3.3504993347651646,D14,-3.3715187416506307,0.05761068395992863,0.021019406885466108
68,-5,2,early,2,2,0,0,A02,-3.2009631115423343,A03,-3.2034110911151545,A01,-3.203789806737512,0.0024479795728202802,0.0003787156223573618
69,-5,2,early,2,2,0,1,A02,-3.207417475568913,A01,-3.208463272089917,A03,-3.2100519444689635,0.0010457965210037834,0.001588672379046585
70,-5,2,early,2,2,1,0,D15,-3.30433441803659,D16,-3.360597556103834,D14,-3.3752571710307384,0.05626313806724381,0.014659614926904485
71,-5,2,early,2,2,1,1,D15,-3.298159995585592,D16,-3.357091422959041,D14,-3.3752571710307384,0.05893142737344936,0.01816574807169724
72,-5,3,early,0,0,0,0,A02,-3.404029432702354,A03,-3.4058622200236734,A10,-3.406513146262322,0.001832787321319529,0.000650926238648708
73,-5,3,early,0,0,0,1,A02,-3.4105147329735295,A01,-3.411657756650888,A03,-3.4125504713499932,0.0011430236773586344,0.0008927146991051238
74,-5,3,early,0,0,1,0,D15,-3.4080256256034605,D16,-3.443015656857948,D14,-3.4717301451930886,0.03499003125448752,0.028714488335140675
75,-5,3,early,0,0,1,1,D15,-3.4080256256034605,D16,-3.443015656857948,D14,-3.4717301451930886,0.03499003125448752,0.028714488335140675
76,-5,3,early,0,1,0,0,D15,-3.372383543777779,A02,-3.3755753751314668,A03,-3.377581650866734,0.003191831353687835,0.002006275735267238
77,-5,3,early,0,1,0,1,A02,-3.3820330187924985,A01,-3.3833622367307274,A03,-3.384245710251232,0.0013292179382289326,0.0008834735205045519
78,-5,3,early,0,1,1,0,D15,-3.372383543777779,D16,-3.449688694458596,D14,-3.464098198982041,0.07730515068081711,0.014409504523444916
79,-5,3,early,0,1,1,1,D15,-3.366068410561741,D16,-3.4462296420763416,D14,-3.464098198982041,0.08016123151460075,0.01786855690569933
80,-5,3,early,0,2,0,0,A02,-3.395488321680506,D15,-3.396522222209589,A03,-3.3974768079376947,0.0010339005290829206,0.0009545857281056946
81,-5,3,early,0,2,0,1,A02,-3.4019454026323297,A01,-3.403330422075589,A03,-3.404139951055728,0.0013850194432594165,0.0008095289801390848
82,-5,3,early,0,2,1,0,D15,-3.396522222209589,D16,-3.474999076772314,D14,-3.48596927582356,0.0784768545627248,0.010970199051246077
83,-5,3,early,0,2,1,1,D15,-3.390347799758591,D16,-3.471492943627521,D14,-3.48596927582356,0.0811451438689299,0.014476332196038832
84,-5,3,early,1,0,0,0,A02,-3.4802820034343833,A03,-3.4825815221926235,A01,-3.483026208895615,0.0022995187582401933,0.00044468670299169233
85,-5,3,early,1,0,0,1,A02,-3.4867392639282637,A01,-3.487726509240804,A03,-3.4892225992818826,0.0009872453125403524,0.001496090041078535
86,-5,3,early,1,0,1,0,D15,-3.5470408928725687,D16,-3.572569170373093,D14,-3.5935660850174034,0.025528277500524332,0.020996914644310305
87,-5,3,early,1,0,1,1,D15,-3.5470408928725687,D16,-3.572569170373093,D14,-3.5935660850174034,0.025528277500524332,0.020996914644310305
88,-5,3,early,1,1,0,0,A02,-3.465775179517981,A03,-3.4680534717659612,A01,-3.4686510143566447,0.0022782922479800405,0.0005975425906834531
89,-5,3,early,1,1,0,1,A02,-3.4722266910379793,A01,-3.473324432162937,A03,-3.4746889988826095,0.0010977411249575297,0.0013645667196726663
90,-5,3,early,1,1,1,0,D15,-3.532330293403178,D16,-3.596166339934027,D14,-3.602687835193372,0.06383604653084873,0.006521495259345311
91,-5,3,early,1,1,1,1,D15,-3.5260151601871397,D16,-3.5927072875517725,D14,-3.602687835193372,0.06669212736463281,0.009980547641599724
92,-5,3,early,1,2,0,0,A02,-3.4660169002726615,A03,-3.468343181400882,A01,-3.468882851559754,0.002326281128220309,0.0005396701588722408
93,-5,3,early,1,2,0,1,A02,-3.47246788624579,A01,-3.473553821090941,A03,-3.474978202685843,0.0010859348451508488,0.0014243815949019911
94,-5,3,early,1,2,1,0,D15,-3.543591362790057,D16,-3.6080868775717527,D14,-3.6128543570785565,0.0644955147816959,0.0047674795068037845
95,-5,3,early,1,2,1,1,D15,-3.537416940339059,D16,-3.6045807444269604,D14,-3.6128543570785565,0.06716380408790146,0.008273612651596096
96,-5,3,early,2,0,0,0,A02,-3.4416401633206344,A03,-3.4440813800921415,A01,-3.4443474190172414,0.0024412167715071043,0.00026603892509990956
97,-5,3,early,2,0,0,1,A02,-3.4481000975204084,A01,-3.4490459637316984,A03,-3.4507276327210317,0.0009458662112900029,0.001681668989333307
98,-5,3,early,2,0,1,0,D15,-3.53129736327444,D16,-3.549190432985246,D14,-3.578440928263717,0.017893069710805953,0.0292504952784709
99,-5,3,early,2,0,1,1,D15,-3.53129736327444,D16,-3.549190432985246,D14,-3.578440928263717,0.017893069710805953,0.0292504952784709
100,-5,3,early,2,1,0,0,A02,-3.4261636028446,A03,-3.4286135281834964,A01,-3.4289794809310954,0.0024499253388965414,0.00036595274759898544
101,-5,3,early,2,1,0,1,A02,-3.4326185125091095,A01,-3.433655627369537,A03,-3.435254897441176,0.0010371148604275682,0.0015992700716389585
102,-5,3,early,2,1,1,0,D15,-3.524646909032874,D16,-3.5792969627005053,D14,-3.5969556988414717,0.054650053667631315,0.017658736140966358
103,-5,3,early,2,1,1,1,D15,-3.5183317758168355,D16,-3.575837910318251,D14,-3.5969556988414717,0.057506134501415396,0.02111778852322077
104,-5,3,early,2,2,0,0,A02,-3.425643642284199,A03,-3.4280953492791983,A01,-3.428466999034694,0.002451706994999192,0.0003716497554955289
105,-5,3,early,2,2,0,1,A02,-3.432098131361247,A01,-3.4331412460673465,A03,-3.4347363111112985,0.0010431147060994128,0.0015950650439520153
106,-5,3,early,2,2,1,0,D15,-3.529770601777456,D16,-3.5859211622906164,D14,-3.6006899472456126,0.056150560513160475,0.014768784954996228
107,-5,3,early,2,2,1,1,D15,-3.5235961793264576,D16,-3.5824150291458237,D14,-3.6006899472456126,0.058818849819366026,0.018274918099788984
108,-5,4,early,0,0,0,0,A02,-3.6398258817596263,A03,-3.6416585612775987,A10,-3.6423095137283155,0.001832679517972391,0.0006509524507167797
109,-5,4,early,0,0,0,1,A02,-3.6463111981422607,A01,-3.6474541311252207,A03,-3.6483468265581513,0.0011429329829599766,0.0008926954329306902
110,-5,4,early,0,0,1,0,D15,-3.6438212312990186,D16,-3.6788112155900823,D14,-3.7075257649717615,0.0349899842910637,0.028714549381679166
111,-5,4,early,0,0,1,1,D15,-3.6438212312990186,D16,-3.6788112155900823,D14,-3.7075257649717615,0.0349899842910637,0.028714549381679166
112,-5,4,early,0,1,0,0,D15,-3.6113313284630313,A02,-3.6137495737685112,A03,-3.6157322239595158,0.00241824530547996,0.0019826501910045202
113,-5,4,early,0,1,0,1,A02,-3.620210425798262,A01,-3.6215268497582063,A03,-3.6223990192018483,0.0013164239599441352,0.0008721694436419902
114,-5,4,early,0,1,1,0,D15,-3.6113313284630313,D16,-3.6882140664702403,D14,-3.7021119791830985,0.07688273800720902,0.01389791271285823
115,-5,4,early,0,1,1,1,D15,-3.6050161952469932,D16,-3.684755014087986,D14,-3.7021119791830985,0.07973881884099265,0.017356965095112642
116,-5,4,early,0,2,0,0,A02,-3.632321295397697,D15,-3.634070101961975,A03,-3.634287739075433,0.0017488065642781159,0.00021763711345768044
117,-5,4,early,0,2,0,1,A02,-3.6387817171753394,A01,-3.640146868650959,A03,-3.6409537829947474,0.0013651514756194416,0.0008069143437885451
118,-5,4,early,0,2,1,0,D15,-3.634070101961975,D16,-3.712240026410852,D14,-3.722662549414411,0.07816992444887694,0.010422523003558837
119,-5,4,early,0,2,1,1,D15,-3.6278956795109774,D16,-3.7087338932660594,D14,-3.722662549414411,0.08083821375508204,0.013928656148351592
120,-5,4,early,1,0,0,0,A02,-3.7195178171652037,A03,-3.721808458063498,A01,-3.7222645167829467,0.0022906408982943383,0.00045605871944864873
121,-5,4,early,1,0,0,1,A02,-3.725975168536809,A01,-3.7269653861560124,A03,-3.7284496137055796,0.0009902176192033707,0.0014842275495672297
122,-5,4,early,1,0,1,0,D15,-3.7853180048253345,D16,-3.811014230155034,D14,-3.8318523483155364,0.025696225329699285,0.020838118160502628
123,-5,4,early,1,0,1,1,D15,-3.7853180048253345,D16,-3.811014230155034,D14,-3.8318523483155364,0.025696225329699285,0.020838118160502628
124,-5,4,early,1,1,0,0,A02,-3.7045951590987793,A03,-3.706870465779958,A01,-3.7074694620937003,0.0022753066811787015,0.0005989963137422727
125,-5,4,early,1,1,0,1,A02,-3.7110468800714744,A01,-3.712144171576691,A03,-3.7135061805024794,0.0010972915052165355,0.001362008925788416
126,-5,4,early,1,1,1,0,D15,-3.7709171963848087,D16,-3.8347424241280894,D14,-3.8412159897564195,0.0638252277432807,0.006473565628330125
127,-5,4,early,1,1,1,1,D15,-3.76460206316877,D16,-3.831283371745835,D14,-3.8412159897564195,0.06668130857706478,0.009932618010584537
128,-5,4,early,1,2,0,0,A02,-3.704804014263621,A03,-3.707124199136851,A01,-3.7076697731541315,0.0023201848732297137,0.0005455740172806145
129,-5,4,early,1,2,0,1,A02,-3.711255204421205,A01,-3.7123419987600443,A03,-3.713759404029782,0.001086794338839514,0.0014174052697377704
130,-5,4,early,1,2,1,0,D15,-3.781709723898659,D16,-3.846280364154908,D14,-3.850895294213427,0.06457064025624915,0.0046149300585187625
131,-5,4,early,1,2,1,1,D15,-3.775535301447661,D16,-3.842774231010116,D14,-3.850895294213427,0.0672389295624547,0.008121063203311074
132,-5,4,early,2,0,0,0,A02,-3.6786985600387077,A03,-3.6811436008600857,A01,-3.6814025998529734,0.002445040821378086,0.00025899899288761574
133,-5,4,early,2,0,0,1,A02,-3.685158610211031,A01,-3.6861018702846944,A03,-3.6877899538878975,0.00094326007366341,0.001688083603203161
134,-5,4,early,2,0,1,0,D15,-3.7689469287733606,D16,-3.786723819557161,D14,-3.816089102235721,0.017776890783800514,0.02936528267855998
135,-5,4,early,2,0,1,1,D15,-3.7689469287733606,D16,-3.786723819557161,D14,-3.816089102235721,0.017776890783800514,0.02936528267855998
136,-5,4,early,2,1,0,0,A02,-3.6626653282440125,A03,-3.6651192831316206,A01,-3.6654774572307987,0.002453954887608134,0.00035817409917804355
137,-5,4,early,2,1,0,1,A02,-3.6691203742605465,A01,-3.670154430137692,A03,-3.6717607721399386,0.0010340558771453345,0.0016063420022467412
138,-5,4,early,2,1,1,0,D15,-3.7619350795084157,D16,-3.8164693967817542,D14,-3.8342415243536956,0.05453431727333857,0.017772127571941354
139,-5,4,early,2,1,1,1,D15,-3.755619946292377,D16,-3.8130103443995,D14,-3.8342415243536956,0.05739039810712265,0.021231179954195767
140,-5,4,early,2,2,0,0,A02,-3.6621358891119327,A03,-3.664591596569246,A01,-3.664955816619735,0.002455707457313494,0.0003642200504887505
141,-5,4,early,2,2,0,1,A02,-3.668590501336018,A01,-3.669630833507211,A03,-3.6712326652043066,0.0010403321711929259,0.0016018316970956015
142,-5,4,early,2,2,1,0,D15,-3.767058586893476,D16,-3.8230896150377522,D14,-3.8379770623736946,0.056031028144276185,0.014887447335942383
143,-5,4,early,2,2,1,1,D15,-3.7608841644424778,D16,-3.8195834818929595,D14,-3.8379770623736946,0.058699317450481736,0.01839358048073514
144,-5,5,early,0,0,0,0,A02,-3.8880318226048365,A03,-3.889864420301248,A10,-3.890515384980791,0.0018325976964113089,0.0006509646795431756
145,-5,5,early,0,0,0,1,A02,-3.8945171512766903,A01,-3.895660016311288,A03,-3.8965526962255685,0.0011428650345979285,0.0008926799142803254
146,-5,5,early,0,0,1,0,D15,-3.8920262637203358,D16,-3.9270158826776,D14,-3.955730906947231,0.034989618957264046,0.02871502426963124
147,-5,5,early,0,0,1,1,D15,-3.8920262637203358,D16,-3.9270158826776,D14,-3.955730906947231,0.034989618957264046,0.02871502426963124
148,-5,5,early,0,1,0,0,D15,-3.861872149727302,A02,-3.8635321811306214,A03,-3.8654916408425994,0.0016600314033192731,0.0019594597119780843
149,-5,5,early,0,1,0,1,A02,-3.869996198768985,A01,-3.8712997024137668,A03,-3.872161137883964,0.0013035036447819337,0.000861435470197236
150,-5,5,early,0,1,1,0,D15,-3.861872149727302,D16,-3.938340394198337,D14,-3.9517363061145865,0.07646824447103473,0.01339591191624967
151,-5,5,early,0,1,1,1,D15,-3.855557016511264,D16,-3.9348813418160824,D14,-3.9517363061145865,0.07932432530481837,0.016854964298504083
152,-5,5,early,0,2,0,0,A02,-3.8814430903012838,A03,-3.883389478550522,D15,-3.8838398158701404,0.0019463882492383178,0.00045033731961829915
153,-5,5,early,0,2,0,1,A02,-3.8879065592731505,A01,-3.8892534791726043,A03,-3.890058169262081,0.0013469198994537912,0.0008046900894767006
154,-5,5,early,0,2,1,0,D15,-3.8838398158701404,D16,-3.9617272953570746,D14,-3.9716553434888895,0.0778874794869342,0.009928048131814915
155,-5,5,early,0,2,1,1,D15,-3.8776653934191425,D16,-3.958221162212282,D14,-3.9716553434888895,0.0805557687931393,0.01343418127660767
156,-5,5,early,1,0,0,0,A02,-3.971352689420085,A03,-3.973634001602545,A01,-3.9741020850644975,0.0022813121824598603,0.0004680834619525953
157,-5,5,early,1,0,0,1,A02,-3.9778101311187797,A01,-3.9788035200399476,A03,-3.980275235313674,0.0009933889211679592,0.0014717152737264705
158,-5,5,early,1,0,1,0,D15,-4.036140932610597,D16,-4.062013455664926,D14,-4.082685181256563,0.02587252305432841,0.020671725591637546
159,-5,5,early,1,0,1,1,D15,-4.036140932610597,D16,-4.062013455664926,D14,-4.082685181256563,0.02587252305432841,0.020671725591637546
160,-5,5,early,1,1,0,0,A02,-3.9559765964705322,A03,-3.958246737657623,A01,-3.9588504697469205,0.0022701411870906796,0.0006037320892975373
161,-5,5,early,1,1,0,1,A02,-3.962428512929914,A01,-3.9635263791826225,A03,-3.9648826281039002,0.0010978662527083571,0.0013562489212777251
162,-5,5,early,1,1,1,0,D15,-4.021745136448118,D16,-4.085598010338978,D14,-4.0919783846449125,0.06385287389085992,0.006380374305934744
163,-5,5,early,1,1,1,1,D15,-4.015430003232079,D16,-4.082138957956723,D14,-4.0919783846449125,0.06670895472464444,0.009839426688189157
164,-5,5,early,1,2,0,0,A02,-3.9561558471186027,A03,-3.958469380966257,A01,-3.9590218678729014,0.0023135338476540923,0.0005524869066446669
165,-5,5,early,1,2,0,1,A02,-3.9626072261365537,A01,-3.963695255742817,A03,-3.9651047555884102,0.0010880296062634187,0.0014094998455931318
166,-5,5,early,1,2,1,0,D15,-4.032297314935456,D16,-4.0969511756216495,D14,-4.101407052148645,0.06465386068619328,0.004455876526995972
167,-5,5,early,1,2,1,1,D15,-4.026122892484458,D16,-4.093445042476857,D14,-4.101407052148645,0.06732214999239883,0.007962009671788728
168,-5,5,early,2,0,0,0,A02,-3.9282206273123643,A03,-3.9306697848542984,A01,-3.930921343928064,0.0024491575419340883,0.000251559073765506
169,-5,5,early,2,0,0,1,A02,-3.9346807927459557,A01,-3.9356213356259895,A03,-3.9373162376653004,0.0009405428800337567,0.001694902039310886
170,-5,5,early,2,0,1,0,D15,-4.019096150846528,D16,-4.036748140640369,D14,-4.066237264993229,0.017651989793840528,0.02948912435286033
171,-5,5,early,2,0,1,1,D15,-4.019096150846528,D16,-4.036748140640369,D14,-4.066237264993229,0.017651989793840528,0.02948912435286033
172,-5,5,early,2,1,0,0,A02,-3.9115998895858475,A03,-3.9140581617518695,A01,-3.914408155235597,0.002458272166022013,0.0003499934837276619
173,-5,5,early,2,1,0,1,A02,-3.918055071541334,A01,-3.9190859504876885,A03,-3.9206997702233215,0.001030878946354452,0.0016138197356330153
174,-5,5,early,2,1,1,0,D15,-4.011691085436922,D16,-4.066094307551783,D14,-4.083999587955588,0.05440322211486048,0.017905280403804902
175,-5,5,early,2,1,1,1,D15,-4.005375952220883,D16,-4.062635255169528,D14,-4.083999587955588,0.05725930294864501,0.021364332786059315
176,-5,5,early,2,2,0,0,A02,-3.9110612222725756,A03,-3.913521220656943,A01,-3.9138776256721237,0.002459998384367612,0.0003564050151805276
177,-5,5,early,2,2,0,1,A02,-3.9175159563422315,A01,-3.9185534043546837,A03,-3.9201623949428073,0.0010374480124522023,0.0016089905881235822
178,-5,5,early,2,2,1,0,D15,-4.016820207012487,D16,-4.072720112120283,D14,-4.087741012641905,0.055899905107795966,0.015020900521621527
179,-5,5,early,2,2,1,1,D15,-4.01064578456149,D16,-4.069213978975491,D14,-4.087741012641905,0.05856819441400152,0.018527033666413395
180,-5,6,mid,0,0,0,0,A02,-4.149300589829096,A03,-4.151133139860856,A10,-4.151783924889282,0.0018325500317599719,0.0006507850284256378
181,-5,6,mid,0,0,0,1,A02,-4.155785927141256,A01,-4.156928774221268,A03,-4.157821423268599,0.0011428470800121104,0.0008926490473308846
182,-5,6,mid,0,0,1,0,D15,-4.153287964211987,D16,-4.188269337618725,D14,-4.216995080066091,0.03498137340673768,0.028725742447366365
183,-5,6,mid,0,0,1,1,D15,-4.153287964211987,D16,-4.188269337618725,D14,-4.216995080066091,0.03498137340673768,0.028725742447366365
184,-5,6,mid,0,1,0,0,D15,-4.124634599128869,A02,-4.1255658726517614,A03,-4.127503008511469,0.0009312735228927949,0.0019371358597073396
185,-5,6,mid,0,1,0,1,A02,-4.132032953851029,A01,-4.1333236596530485,A03,-4.134175122636694,0.0012907058020195095,0.0008514629836451348
186,-5,6,mid,0,1,1,0,D15,-4.124634599128869,D16,-4.200703979441759,D14,-4.213616819590534,0.07606938031289001,0.012912840148775473
187,-5,6,mid,0,1,1,1,D15,-4.118319465912831,D16,-4.197244927059504,D14,-4.213616819590534,0.07892546114667365,0.016371892531029886
