scenario,match_index,match_seed,action_diff_steps,macro_diff_steps,fall_diff_steps,score_path_l1,final_score_gap,reward_gap,win_gap,mdp_unique_action_count,mdp_unique_macro_count,mdp_has_probe_attack,mdp_has_counter_defense,mdp_non_dominant_macro_share,is_scenario_representative,is_plot_sample
领先局,18,422911244,11,11,1,0.0,0,-1.608374177567283,0,5,5,1,1,0.65,False,False
领先局,19,1281200629,10,10,0,4.0,1,-0.14660063997716222,0,5,5,1,1,0.65,False,False
领先局,20,711562288,7,7,0,0.0,0,-0.97515749114417,0,4,4,1,1,0.65,False,False
领先局,21,4153071025,10,10,1,0.0,0,-0.8611519746742182,0,4,4,1,0,0.6,False,False
领先局,22,3126564464,9,9,0,5.0,1,-0.5686456326238201,0,4,4,1,0,0.65,False,False
领先局,23,3950726355,10,10,2,0.0,0,0.22546738400594002,0,5,5,1,1,0.65,False,False
领先局,24,1213324567,10,10,0,1.0,-1,-0.3536287548955972,0,4,4,1,0,0.6,False,False
领先局,25,2731044307,8,8,0,0.0,0,-1.5607224274010498,0,4,4,1,1,0.65,False,False
领先局,26,2594908415,8,8,0,9.0,-1,-0.9682851469274425,0,5,5,1,1,0.65,False,False
领先局,27,3232959738,10,10,0,1.0,1,-0.04643817033111475,0,4,4,1,0,0.55,False,False
领先局,28,506876000,10,10,0,0.0,0,-0.8826946416162009,0,5,5,1,1,0.65,False,False
领先局,29,2212568277,11,11,1,4.0,1,-0.3054171374285044,0,5,5,1,1,0.65,False,False
领先局,30,2768292148,4,4,0,0.0,0,-0.5742007638534528,0,3,3,1,0,0.55,False,False
领先局,31,3547193123,9,9,1,1.0,1,-0.3282491424665963,0,4,4,1,0,0.65,False,False
领先局,32,2817870099,11,11,2,8.0,1,-0.7236516974516025,0,4,4,1,0,0.55,False,False
领先局,33,1925779777,6,6,1,20.0,-2,-0.48304497060925655,0,3,3,1,0,0.44999999999999996,False,False
领先局,34,1976262170,5,5,0,14.0,-2,-1.0616313973381022,0,4,4,1,1,0.6,False,False
领先局,35,1455188405,10,10,2,0.0,0,-0.9040076601854601,0,5,5,1,1,0.65,False,False
领先局,36,675339020,10,10,1,4.0,-1,-1.3445092710646698,0,5,5,1,1,0.65,False,False
领先局,37,1193568041,9,9,0,2.0,1,-0.32055739199983435,0,4,4,1,0,0.65,False,False
领先局,38,627611542,10,10,0,0.0,0,-1.6860510687230423,0,5,5,1,1,0.65,False,False
领先局,39,972093076,10,10,0,0.0,0,-0.8175582343812149,0,4,4,1,0,0.65,False,False
领先局,40,3667032025,6,6,0,12.0,-2,-0.9527049786029345,0,5,5,1,1,0.65,False,False
领先局,41,2258366144,4,4,0,0.0,0,-0.436823789462343,0,3,3,1,0,0.55,False,False
领先局,42,393421429,4,4,1,9.0,-1,-0.6252407665062787,0,4,4,1,0,0.55,False,False
领先局,43,1850753207,10,10,0,0.0,0,-0.7073611988693109,0,4,4,1,0,0.65,False,False
领先局,44,1163014937,11,11,0,0.0,0,-0.7733334773273324,0,5,5,1,1,0.65,False,False
领先局,45,2848339075,8,8,1,22.0,-2,-0.5866724308360016,0,3,3,1,0,0.55,False,False
领先局,46,3566108530,9,9,0,0.0,0,-0.4375308623780576,0,4,4,1,0,0.65,False,False
领先局,47,55149450,10,10,1,0.0,0,-1.065014399084962,0,5,5,1,1,0.65,False,False
领先局,48,2000674368,4,4,0,0.0,0,-0.33681436295061395,0,3,3,1,0,0.55,False,False
领先局,49,1922865024,4,4,0,0.0,0,-0.5725889029677074,0,3,3,1,0,0.55,False,False
领先局,50,4255028922,10,10,3,0.0,0,-0.9138947720195016,0,4,4,1,0,0.55,False,False
领先局,51,1568439596,4,4,1,0.0,0,-0.5938759536716098,0,4,4,1,0,0.55,False,False
领先局,52,709609303,11,11,0,11.0,-1,-1.077844738266684,0,5,5,1,1,0.65,False,False
领先局,53,839226300,11,11,1,0.0,0,-1.8661108362215213,0,5,5,1,1,0.65,False,False
领先局,54,2051069601,8,8,1,0.0,0,-0.46492238646732886,0,4,4,1,0,0.65,False,False
领先局,55,2554929460,10,10,1,0.0,0,-0.6192389195320214,0,5,5,1,1,0.65,False,False
领先局,56,1402591720,9,9,0,0.0,0,-0.633165423081735,0,4,4,1,0,0.65,False,False
领先局,57,1869655767,10,10,0,6.0,1,0.01202226011239027,0,4,4,1,0,0.65,False,False
领先局,58,2848765957,10,10,1,0.0,0,-0.8698522622163694,0,4,4,1,0,0.65,False,False
领先局,59,1288453696,9,9,0,7.0,-1,-0.9532644198276579,0,4,4,1,0,0.55,False,False
领先局,60,4143503259,10,10,2,4.0,-1,-0.5419670935734988,0,4,4,1,0,0.65,False,False
领先局,61,899435390,5,5,0,20.0,-2,-0.13872831828609833,0,3,3,1,0,0.44999999999999996,False,False
领先局,62,4016845402,10,10,1,1.0,1,-0.2788279227826447,0,5,5,1,1,0.65,False,False
领先局,63,3756481720,5,5,1,16.0,-2,-0.6404661590608018,0,4,4,1,0,0.55,False,False
领先局,64,4110225763,12,12,0,0.0,0,-1.600793444590181,0,5,5,1,1,0.65,False,False
领先局,65,3425074563,10,10,1,1.0,1,-0.8002540862658591,0,4,4,1,0,0.5,False,False
领先局,66,2270829702,10,10,0,4.0,-1,-1.238881037672959,0,4,4,1,0,0.65,False,False
领先局,67,2605798218,5,5,1,0.0,0,-0.8786734426192044,0,4,4,1,0,0.6,False,False
领先局,68,887749183,11,11,1,0.0,0,-0.2921651819689899,0,5,5,1,1,0.65,False,False
领先局,69,1482195698,10,10,0,0.0,0,-0.6160816503477609,0,4,4,1,0,0.65,False,False
领先局,70,1989196986,10,10,0,6.0,-1,-0.47167783637288885,0,4,4,1,0,0.65,False,False
领先局,71,4066560036,10,10,1,3.0,-1,-0.025235488737138212,0,5,5,1,1,0.65,False,False
领先局,72,3413544861,5,5,1,0.0,0,-0.9566805495728463,0,4,4,1,0,0.6,False,False
领先局,73,2419687397,10,10,0,0.0,0,-0.9357153379555943,0,5,5,1,1,0.65,False,False
领先局,74,2555752567,7,7,0,17.0,-2,-1.1108737755946034,0,3,3,1,0,0.55,False,False
领先局,75,1858701812,10,10,2,0.0,0,-1.0732708957290011,0,5,5,1,1,0.65,False,False
领先局,76,1801516520,11,11,0,0.0,0,-0.7743009675926267,0,5,5,1,1,0.65,False,False
领先局,77,3867401578,9,9,0,8.0,-1,-0.7008842160287045,0,4,4,1,0,0.6,False,False
领先局,78,17799455,10,10,3,0.0,0,-0.7240675235186966,0,4,4,1,0,0.6,False,False
领先局,79,1371562603,4,4,1,0.0,0,-0.6148167142409431,0,4,4,1,0,0.55,False,False
领先局,80,1753921574,9,9,0,0.0,0,-0.0873881201218687,0,4,4,1,0,0.65,False,False
领先局,81,2989275204,10,10,0,0.0,0,-1.1326066035512419,0,5,5,1,1,0.65,False,False
领先局,82,1769083033,10,10,2,0.0,0,-0.6442332072781873,0,4,4,1,0,0.65,False,False
领先局,83,1347848041,4,4,0,0.0,0,-0.583298247234211,0,3,3,1,0,0.55,False,False
领先局,84,336530129,6,6,1,7.0,-1,-0.9754999949313135,0,5,5,1,1,0.6,False,False
领先局,85,1123361779,10,10,1,1.0,0,-0.3545909115275343,0,5,5,1,1,0.65,False,False
领先局,86,454082359,9,9,1,4.0,-2,-1.0290868260408548,0,5,5,1,1,0.65,False,False
领先局,87,3010088699,10,10,1,5.0,-1,-0.7944545246167198,0,4,4,1,0,0.55,False,False
领先局,88,1837487923,10,10,3,4.0,0,-1.166468932689872,0,5,5,1,1,0.65,False,False
领先局,89,978788595,10,10,0,0.0,0,-1.0832738300210494,0,5,5,1,1,0.65,False,False
领先局,90,2319541886,2,2,0,0.0,0,-0.36204485434724987,0,4,4,1,0,0.6,False,False
领先局,91,2117892709,10,10,2,0.0,0,-1.3588394228912932,0,5,5,1,1,0.65,False,False
领先局,92,2030495274,10,10,1,0.0,0,-0.7269730279450339,0,5,5,1,1,0.65,False,False
领先局,93,2491203235,10,10,2,0.0,0,-1.7112155882580868,0,5,5,1,1,0.65,False,False
领先局,94,2691425900,11,11,0,2.0,1,-1.4049322977943604,0,5,5,1,1,0.65,False,False
领先局,95,811346657,3,3,2,0.0,0,-0.4068116293714237,0,4,4,1,0,0.65,False,False
领先局,96,665843945,11,11,0,32.0,-3,-2.1873366053595387,0,5,5,1,1,0.65,False,False
领先局,97,3140654712,9,9,0,0.0,0,-0.07280749511651585,0,4,4,1,0,0.65,False,False
领先局,98,4177464775,11,11,1,4.0,1,0.3518874026827792,0,5,5,1,1,0.65,False,False
领先局,99,2355716823,4,4,0,0.0,0,-0.39521764470450016,0,3,3,1,0,0.55,False,False
领先局,100,1936169708,10,10,0,7.0,2,-0.17734835935914184,0,5,5,1,1,0.65,False,False
领先局,101,2669336173,12,12,1,6.0,1,0.18237399305365898,0,5,5,1,1,0.65,False,False
领先局,102,148813563,10,10,1,0.0,0,-0.748226588907567,0,4,4,1,0,0.65,False,False
领先局,103,1598347669,4,4,0,0.0,0,-0.304931773816115,0,3,3,1,0,0.55,False,False
领先局,104,1540820936,4,4,0,0.0,0,-0.528468903238922,0,3,3,1,0,0.55,False,False
领先局,105,1804716308,10,10,0,0.0,0,-0.7619787833428262,0,4,4,1,0,0.65,False,False
领先局,106,3195328149,10,10,1,0.0,0,-1.2608204786647672,0,4,4,1,0,0.65,False,False
领先局,107,2125277282,8,8,1,3.0,-1,-0.9120547157566694,0,4,4,1,0,0.65,False,False
领先局,108,3675548222,10,10,1,6.0,2,-0.5194616695797745,0,4,4,1,0,0.65,False,False
领先局,109,2018509697,10,10,0,0.0,0,-1.573467806070699,0,4,4,1,0,0.65,False,False
领先局,110,145975182,4,4,0,9.0,-1,-0.34571451639666684,0,3,3,1,0,0.55,False,False
领先局,111,2901848365,8,8,1,20.0,-2,0.4152990331287434,0,3,3,1,0,0.44999999999999996,False,False
领先局,112,3427678346,10,10,0,0.0,0,-0.8387857555536371,0,4,4,1,0,0.6,False,False
领先局,113,2478958504,7,7,0,9.0,1,-0.24241623455823635,0,4,4,1,0,0.65,False,False
领先局,114,4026679650,10,10,1,4.0,2,-0.4177705681961523,0,5,5,1,1,0.65,False,False
领先局,115,1787868796,10,10,1,1.0,0,-0.8438448063798365,0,4,4,1,0,0.65,False,False
领先局,116,3423585658,11,11,1,0.0,0,-1.7267489482667795,0,5,5,1,1,0.65,False,False
领先局,117,7741048,4,4,0,0.0,0,-0.2859970712257205,0,4,4,1,0,0.6,False,False
领先局,118,167415583,10,10,1,0.0,0,-0.49391714755969396,0,4,4,1,0,0.65,False,False
领先局,119,3410337437,10,10,3,6.0,0,0.6939852107755708,0,5,5,1,1,0.65,False,False
领先局,120,3751023272,4,4,0,0.0,0,-0.6153071607363216,0,3,3,1,0,0.55,False,False
领先局,121,2230738242,4,4,0,9.0,-1,-0.6669995705154594,0,3,3,1,0,0.55,False,False
领先局,122,3232905927,10,10,1,6.0,-1,-0.615303270377634,0,4,4,1,0,0.65,False,False
领先局,123,1402498650,11,11,0,3.0,-1,-1.574636875253221,0,5,5,1,1,0.5,False,False
领先局,124,3122549395,5,5,1,18.0,-2,-0.44671711835581895,0,4,4,1,0,0.55,False,False
领先局,125,2147290469,11,11,1,0.0,0,-1.9514012704679828,0,5,5,1,1,0.55,False,False
领先局,126,1303848633,4,4,0,0.0,0,-0.6705647859610142,0,3,3,1,0,0.55,False,False
领先局,127,401347227,10,10,0,0.0,0,-2.78042206747475,0,5,5,1,1,0.65,False,False
领先局,128,750167515,11,11,0,0.0,0,-2.108314253629306,0,5,5,1,1,0.6,False,False
领先局,129,3885674403,5,5,0,18.0,-2,-1.2518982740518556,0,4,4,1,0,0.5,False,False
领先局,130,1906183996,4,4,0,0.0,0,-0.3515975475817239,0,3,3,1,0,0.55,False,False
领先局,131,4250884470,10,10,0,1.0,1,-0.04725411858721351,0,4,4,1,0,0.65,False,False
领先局,132,1515588042,4,4,0,4.0,-1,-0.48122797048296917,0,3,3,1,0,0.55,False,False
领先局,133,252265837,10,10,0,3.0,0,-0.6020032682683389,0,5,5,1,1,0.65,False,False
领先局,134,1100415810,10,10,1,0.0,0,-2.126105570204704,0,5,5,1,1,0.65,False,False
领先局,135,1538591367,4,4,0,0.0,0,-0.44660280342785086,0,3,3,1,0,0.55,False,False
领先局,136,3010819991,10,10,1,0.0,0,-0.3861987543277543,0,5,5,1,1,0.65,False,False
领先局,137,3135603484,11,11,2,7.0,1,-0.25088539522200115,0,4,4,1,0,0.6,False,False
领先局,138,3165233057,8,8,0,3.0,-1,-0.9504304379516562,0,4,4,1,0,0.65,False,False
领先局,139,1349642495,10,10,2,0.0,0,-1.0531470658682789,0,5,5,1,1,0.65,False,False
领先局,140,1632133856,4,4,0,0.0,0,-0.346150926783686,0,3,3,1,0,0.55,False,False
领先局,141,2435460166,10,10,0,2.0,0,0.13565779523523247,0,4,4,1,0,0.65,False,False
领先局,142,2604048290,8,8,0,6.0,-1,-0.46463225231402916,0,4,4,1,0,0.6,False,False
领先局,143,1789158658,4,4,0,0.0,0,-0.4779258002951785,0,3,3,1,0,0.55,False,False
领先局,144,816923232,10,10,1,1.0,1,-1.867812190834714,0,5,5,1,1,0.65,False,False
领先局,145,3325215896,10,10,1,0.0,0,-1.2157638064294076,0,5,5,1,1,0.65,False,False
领先局,146,2236631463,11,11,0,7.0,1,-0.20649296810298523,0,5,5,1,1,0.65,False,False
领先局,147,4116573255,4,4,0,0.0,0,-0.41534228688126973,0,3,3,1,0,0.55,False,False
领先局,148,4063487622,4,4,0,10.0,-1,-0.3049945562789027,0,3,3,1,0,0.55,False,False
领先局,149,3815629300,4,4,0,0.0,0,-0.39566574315653646,0,3,3,1,0,0.55,False,False
领先局,150,4126428580,4,4,0,0.0,0,-0.7786953561123298,0,3,3,1,0,0.55,False,False
领先局,151,2666897514,10,10,2,0.0,0,-0.6998624345038067,0,5,5,1,1,0.65,False,False
领先局,152,1280924132,10,10,1,3.0,-1,-0.9299226599917017,0,4,4,1,0,0.6,False,False
领先局,153,688372930,10,10,1,7.0,-1,-0.1859318417870277,0,4,4,1,0,0.65,False,False
领先局,154,451912191,10,10,0,0.0,0,-0.6884689713435481,0,4,4,1,0,0.65,False,False
领先局,155,4067600674,5,5,1,14.0,-2,-0.5974916477190515,0,4,4,1,0,0.6,False,False
领先局,156,1161064441,10,10,1,7.0,-1,-1.0947617518468693,0,4,4,1,0,0.55,False,False
领先局,157,101500507,9,9,0,0.0,0,-0.06083740613624933,0,5,5,1,1,0.65,False,False
领先局,158,161222390,10,10,3,0.0,0,-2.125729729816337,0,5,5,1,1,0.65,False,False
领先局,159,1278652378,10,10,0,0.0,0,-0.7303032761162189,0,4,4,1,0,0.65,False,False
领先局,160,4206408868,4,4,1,0.0,0,-0.4727995723679026,0,4,4,1,0,0.55,False,False
领先局,161,1209520741,11,11,1,8.0,1,-0.6686286862607211,0,5,5,1,1,0.65,False,False
领先局,162,438561028,5,5,0,20.0,-2,-0.11514243584106687,0,3,3,1,0,0.44999999999999996,False,False
领先局,163,2885470619,10,10,1,0.0,0,-0.5990812106482188,0,5,5,1,1,0.65,False,False
领先局,164,256512790,7,7,1,8.0,1,-0.825360004944395,0,4,4,1,0,0.65,False,False
领先局,165,2093208429,4,4,0,8.0,-1,-0.27112082582380914,0,3,3,1,0,0.55,False,False
领先局,166,369958555,10,10,1,0.0,0,-0.9027721681283385,0,5,5,1,1,0.65,False,False
领先局,167,398953278,11,11,1,7.0,-1,-0.5572385600337064,0,4,4,1,0,0.6,False,False
领先局,168,1546684314,10,10,0,2.0,0,-1.4754925223412734,0,5,5,1,1,0.65,False,False
领先局,169,55224206,4,4,0,0.0,0,-0.6240557642045115,0,3,3,1,0,0.55,False,False
领先局,170,3653266088,9,9,0,2.0,1,0.10637395134818028,0,4,4,1,0,0.65,False,False
领先局,171,2595516367,10,10,0,4.0,1,-1.340101363657448,0,5,5,1,1,0.65,False,False
领先局,172,4008823066,10,10,0,0.0,0,-1.4839344956587492,0,5,5,1,1,0.65,False,False
领先局,173,2110904837,10,10,0,0.0,0,-0.5514754877024277,0,4,4,1,0,0.6,False,False
领先局,174,2388546560,5,5,1,16.0,-2,-0.553152871895584,0,4,4,1,0,0.6,False,False
领先局,175,2582916542,10,10,1,3.0,1,-0.044428776155927,0,5,5,1,1,0.65,False,False
领先局,176,2001571154,10,10,1,6.0,1,-0.34211292683562533,0,4,4,1,0,0.65,False,False
领先局,177,2422464048,9,9,1,7.0,1,-0.921720352042728,0,4,4,1,0,0.6,False,False
领先局,178,2458644486,7,7,1,7.0,-1,-0.7937824268402132,0,5,5,1,1,0.65,False,False
领先局,179,3824492747,8,8,1,0.0,0,-0.6017119390897925,0,4,4,1,0,0.65,False,False
领先局,180,1302979170,5,5,0,18.0,-2,-0.13779917848510337,0,3,3,1,0,0.5,False,False
领先局,181,3944484468,10,10,0,0.0,0,-0.7673373631725777,0,5,5,1,1,0.65,False,False
领先局,182,740716055,9,9,1,0.0,0,-0.9005096807150448,0,5,5,1,1,0.65,False,False
领先局,183,808558349,10,10,4,0.0,0,-1.0827864293635834,0,5,5,1,1,0.65,False,False
领先局,184,1095344088,4,4,0,0.0,0,-0.3766727353978361,0,3,3,1,0,0.55,False,False
领先局,185,4046378322,12,12,4,4.0,1,0.20943780782918608,0,5,5,1,1,0.65,False,False
领先局,186,1051271632,4,4,0,0.0,0,-0.4730118020082479,0,3,3,1,0,0.55,False,False
领先局,187,3383260097,9,9,1,0.0,0,0.10898267568529363,0,4,4,1,0,0.65,False,False
领先局,188,2504345501,9,9,2,14.0,-2,-1.1825902187274675,0,5,5,1,1,0.65,False,False
领先局,189,2744596853,10,10,2,1.0,-1,-0.9589478448962154,0,4,4,1,0,0.6,False,False
领先局,190,333081081,10,10,1,0.0,0,-0.6221698015279795,0,4,4,1,0,0.6,False,False
领先局,191,2832991641,10,10,2,0.0,0,-0.7094910581740894,0,5,5,1,1,0.65,False,False
领先局,192,298505897,9,9,0,0.0,0,-1.052474244905648,0,5,5,1,1,0.65,False,False
领先局,193,2345310828,10,10,1,5.0,0,-0.03515770265961571,0,5,5,1,1,0.65,False,False
领先局,194,3380351132,11,11,2,0.0,0,-1.5591842901386954,0,5,5,1,1,0.65,False,False
领先局,195,3939615872,10,10,1,3.0,1,-1.019125531920551,0,5,5,1,1,0.65,False,False
领先局,196,4250731989,8,8,2,4.0,-1,-0.5590397652244885,0,4,4,1,0,0.65,False,False
领先局,197,1001857840,10,10,1,0.0,0,-1.0867512707034734,0,5,5,1,1,0.6,False,False
领先局,198,3296984022,10,10,3,0.0,0,-1.2835514616115393,0,5,5,1,1,0.65,False,False
领先局,199,2574042585,11,11,0,4.0,1,0.47419446994583936,0,4,4,1,0,0.6,False,False
领先局,200,3150976997,8,8,1,0.0,0,-1.3123971634300418,0,5,5,1,1,0.65,False,False
领先局,201,3497147320,10,10,2,9.0,1,-0.7599952694598038,0,5,5,1,1,0.65,False,False
领先局,202,2036843642,10,10,1,6.0,-1,-1.0135555142568347,0,5,5,1,1,0.65,False,False
领先局,203,578796026,4,4,0,0.0,0,-0.4173547040675558,0,3,3,1,0,0.55,False,False
领先局,204,3387566800,10,10,0,0.0,0,0.025043216382815814,0,4,4,1,0,0.65,False,False
领先局,205,2643587907,4,4,1,0.0,0,-0.452947297172134,0,4,4,1,0,0.55,False,False
领先局,206,573535641,10,10,1,0.0,0,-1.9968972358097172,0,5,5,1,1,0.65,False,False
领先局,207,1730156602,10,10,0,0.0,0,-0.2843656587324901,0,4,4,1,0,0.6,False,False
领先局,208,623516343,10,10,0,0.0,0,-0.49033020846234976,0,4,4,1,0,0.6,False,False
领先局,209,3290101033,10,10,0,10.0,1,1.4620673167549754,0,4,4,1,0,0.6,False,False
领先局,210,1437837240,4,4,1,0.0,0,-0.6414973697388646,0,4,4,1,0,0.55,False,False
领先局,211,290830963,10,10,2,0.0,0,-1.3935272383671204,0,4,4,1,0,0.6,False,False
领先局,212,1221430097,10,10,2,6.0,1,-0.020512480671234457,0,4,4,1,0,0.65,False,False
领先局,213,2606247920,10,10,1,0.0,0,-1.0085107171996075,0,5,5,1,1,0.65,False,False
领先局,214,2539061207,10,10,1,3.0,1,-0.48748448397491195,0,4,4,1,0,0.65,False,False
领先局,215,3681124942,10,10,2,9.0,-2,-1.5204374673508738,0,5,5,1,1,0.65,False,False
领先局,216,1550413626,5,5,1,14.0,-2,-0.6066765561965966,0,4,4,1,0,0.6,False,False
领先局,217,2698733518,10,10,1,0.0,0,-0.8069953746651155,0,4,4,1,0,0.65,False,False
领先局,218,4058226833,10,10,0,4.0,-1,-0.2511398391810289,0,5,5,1,1,0.65,False,False
领先局,219,1380134891,6,6,0,0.0,0,-0.588756270613592,0,4,4,1,0,0.65,False,False
领先局,220,130144114,10,10,1,7.0,1,-0.33261772546186386,0,4,4,1,0,0.65,False,False
领先局,221,2816622612,10,10,1,6.0,-1,-0.6273847398302994,0,5,5,1,1,0.65,False,False
领先局,222,2579547834,10,10,1,6.0,1,-0.17563991813525703,0,4,4,1,0,0.65,False,False
领先局,223,1452355399,9,9,2,8.0,-1,-0.35943862582016806,0,4,4,1,0,0.6,False,False
领先局,224,2417143307,9,9,1,2.0,-1,-1.2744053624517502,0,5,5,1,1,0.65,False,False
领先局,225,2871584159,11,11,0,2.0,-2,-0.8160792103531698,0,5,5,1,1,0.65,False,False
领先局,226,3514637157,10,10,0,6.0,1,-0.17409550805182405,0,4,4,1,0,0.65,False,False
领先局,227,551235005,9,9,1,9.0,-2,-0.6413487671955878,0,4,4,1,0,0.65,False,False
领先局,228,2024463564,10,10,1,2.0,1,-1.8228150523578197,0,5,5,1,1,0.65,False,False
领先局,229,1202555383,10,10,1,2.0,1,-0.8923817673318091,0,5,5,1,1,0.65,False,False
领先局,230,1434138284,10,10,1,2.0,1,-0.48235965827356786,0,4,4,1,0,0.65,False,False
领先局,231,140524363,10,10,1,0.0,0,-1.3139448456711893,0,5,5,1,1,0.65,False,False
领先局,232,1812909208,10,10,0,0.0,0,-0.8088377766161408,0,5,5,1,1,0.65,False,False
领先局,233,360388080,10,10,2,8.0,2,-0.3722545016662657,0,4,4,1,0,0.55,False,False
领先局,234,3978209704,4,4,0,10.0,-1,-0.33581106466347066,0,3,3,1,0,0.55,False,False
领先局,235,2382717372,9,9,1,14.0,2,1.2502715996009623,0,4,4,1,0,0.65,False,False
领先局,236,1809586670,10,10,1,7.0,1,-0.7023355615531646,0,4,4,1,0,0.65,False,False
领先局,237,995136282,4,4,0,0.0,0,-0.8079680118679118,0,3,3,1,0,0.55,False,False
领先局,238,4033456166,4,4,0,0.0,0,-0.8846910386096116,0,3,3,1,0,0.55,False,False
领先局,239,2216557834,9,9,0,8.0,-2,-1.7842500772594203,0,5,5,1,1,0.65,False,False
领先局,240,4234162641,9,9,0,9.0,1,1.1543035386849567,0,4,4,1,0,0.6,False,False
领先局,241,2832829572,10,10,1,4.0,1,-0.9499913387608476,0,5,5,1,1,0.65,False,False
领先局,242,4266594570,9,9,0,0.0,0,-0.8639429105204162,0,5,5,1,1,0.65,False,False
领先局,243,3784665820,10,10,0,1.0,1,-0.23916968434490116,0,4,4,1,0,0.6,False,False
领先局,244,3188379834,10,10,0,0.0,0,-0.595148138864678,0,5,5,1,1,0.65,False,False
领先局,245,1524975444,7,7,1,3.0,-1,-1.0437032995449496,0,4,4,1,0,0.65,False,False
领先局,246,3339304893,10,10,1,4.0,1,-0.05615129427638621,0,4,4,1,0,0.65,False,False
领先局,247,1368715737,10,10,1,1.0,1,-0.5736820091096106,0,5,5,1,1,0.65,False,False
领先局,248,3691265658,10,10,1,0.0,0,0.12597766524557308,0,4,4,1,0,0.5,False,False
领先局,249,1347188395,10,10,0,9.0,-1,-1.0614962947732796,0,5,5,1,1,0.65,False,False
领先局,250,332875315,10,10,1,8.0,2,-0.1605754108003854,0,4,4,1,0,0.65,False,False
领先局,251,506160368,10,10,0,0.0,0,-0.5436471238743597,0,4,4,1,0,0.65,False,False
领先局,252,1950745723,10,10,2,0.0,0,-0.7189314085062879,0,4,4,1,0,0.65,False,False
领先局,253,2848350861,10,10,0,10.0,-1,-1.0739732039158199,0,5,5,1,1,0.65,False,False
领先局,254,1242910397,4,4,0,0.0,0,-0.4829443268599469,0,3,3,1,0,0.55,False,False
领先局,255,3520389620,5,5,2,16.0,-2,-0.6808198356601878,0,4,4,1,0,0.6,False,False
领先局,256,1097653516,4,4,0,0.0,0,-0.3756444488269395,0,3,3,1,0,0.55,False,False
领先局,257,2031540407,7,7,1,13.0,-2,-1.210390381359094,0,4,4,1,0,0.6,False,False
领先局,258,1442857844,10,10,0,0.0,0,-0.6519793559752767,0,4,4,1,0,0.6,False,False
领先局,259,2397869060,5,5,0,18.0,-2,-0.15143430809686187,0,3,3,1,0,0.5,False,False
领先局,260,811933314,8,8,0,9.0,-1,-1.1688967812882058,0,4,4,1,1,0.65,False,False
领先局,261,4116640741,5,5,0,18.0,-2,-0.2410539409751813,0,3,3,1,0,0.5,False,False
领先局,262,3975701584,9,9,0,7.0,-1,-1.1621671833513467,0,5,5,1,1,0.65,False,False
领先局,263,3001817803,11,11,1,6.0,1,-0.48640447722498514,0,4,4,1,0,0.6,False,False
领先局,264,2279475314,4,4,0,20.0,-2,-0.21132124508413774,0,4,4,1,0,0.5,False,False
领先局,265,3199900471,7,7,0,0.0,0,-0.5780912187474279,0,4,4,1,0,0.65,False,False
领先局,266,2012932264,4,4,0,9.0,-1,-0.6211913501933832,0,3,3,1,0,0.55,False,False
领先局,267,3820366353,4,4,0,0.0,0,-0.638819858757099,0,3,3,1,0,0.55,False,False
领先局,268,284716755,10,10,3,0.0,0,-1.1679468543092728,0,4,4,1,0,0.6,False,False
