wins_my,wins_opp,scenario_key,scenario,reset_left,pause_left,repair_left,alloc_reset,alloc_pause,alloc_repair,allocation_label,round_pwin,expected_used_reset,expected_used_pause,expected_used_repair,next_win_state,next_lose_state
0,1,trailing,落后局,1,2,1,1,1,1,R1-P1-M1,0.8162879004992717,0.0011513564708044864,0.8264254523826421,0.301206711507026,"(1,1)","(0,2)"
0,1,trailing,落后局,2,0,0,2,0,0,R2-P0-M0,0.7862227018997515,0.0007929021813459845,0.0,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,2,0,1,2,0,1,R2-P0-M1,0.7994139523780945,0.0014617890186120273,0.0,0.35343290182309833,"(1,1)","(0,2)"
0,1,trailing,落后局,2,1,0,2,1,0,R2-P1-M0,0.803836424790609,0.0004957696826104426,0.8299543570003374,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,2,1,1,2,1,1,R2-P1-M1,0.8162880740108783,0.001156405588246425,0.8264255180003796,0.30120672120419656,"(1,1)","(0,2)"
0,1,trailing,落后局,2,2,0,2,1,0,R2-P1-M0,0.803836424790609,0.0004957696826104426,0.8299543570003374,0.0,"(1,1)","(0,2)"
0,1,trailing,落后局,2,2,1,2,1,1,R2-P1-M1,0.8162880740108783,0.001156405588246425,0.8264255180003796,0.30120672120419656,"(1,1)","(0,2)"
1,0,leading,领先局,0,0,0,0,0,0,R0-P0-M0,0.8928673086254119,0.0,0.0,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,0,0,1,0,0,1,R0-P0-M1,0.917953163690612,0.0,0.0,0.3536600370290434,"(2,0)","(1,1)"
1,0,leading,领先局,0,1,0,0,1,0,R0-P1-M0,0.9119283331851529,0.0,1.000000000000001,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,0,1,1,0,1,1,R0-P1-M1,0.9312967388298199,0.0,0.9435904398579597,0.3013717252586657,"(2,0)","(1,1)"
1,0,leading,领先局,0,2,0,0,2,0,R0-P2-M0,0.929844678035643,0.0,2.0000000000000018,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,0,2,1,0,2,1,R0-P2-M1,0.941798780230095,0.0,1.89082087588048,0.2547311756929661,"(2,0)","(1,1)"
1,0,leading,领先局,1,0,0,1,0,0,R1-P0-M0,0.8928713394606589,7.284127472331929e-05,0.0,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,1,0,1,1,0,1,R1-P0-M1,0.9179747698157869,0.00047997956276035444,0.0,0.3536464771786831,"(2,0)","(1,1)"
1,0,leading,领先局,1,1,0,1,1,0,R1-P1-M0,0.9119303473448003,2.8368077732484874e-05,1.0000000000000009,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,1,1,1,1,1,1,R1-P1-M1,0.9313168181898329,0.00045061732111492827,0.9435937890064169,0.3013715919299594,"(2,0)","(1,1)"
1,0,leading,领先局,1,2,0,1,2,0,R1-P2-M0,0.9298471083625384,3.341952970207947e-05,2.0,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,1,2,1,1,2,1,R1-P2-M1,0.9418187559817073,0.00043761928760170817,1.8908237561939067,0.25473118696613106,"(2,0)","(1,1)"
1,0,leading,领先局,2,0,0,2,0,0,R2-P0-M0,0.8928713444854275,7.295312309972643e-05,0.0,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,2,0,1,2,0,1,R2-P0-M1,0.9179747884597914,0.00048083971853918393,0.0,0.35364647650935055,"(2,0)","(1,1)"
1,0,leading,领先局,2,1,0,2,1,0,R2-P1-M0,0.9119303513334754,2.8469517182938922e-05,1.0000000000000009,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,2,1,1,2,1,1,R2-P1-M1,0.931316834937773,0.000451444436079361,0.943593789561388,0.3013715920879534,"(2,0)","(1,1)"
1,0,leading,领先局,2,2,0,2,2,0,R2-P2-M0,0.9298471120405404,3.3523160240614733e-05,2.0,0.0,"(2,0)","(1,1)"
1,0,leading,领先局,2,2,1,2,2,1,R2-P2-M1,0.9418187724111702,0.00043844090952477294,1.8908237565314403,0.25473118714036247,"(2,0)","(1,1)"
1,1,tied,平局局,0,0,0,0,0,0,R0-P0-M0,0.8439386610841856,0.0,0.0,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,0,0,1,0,0,1,R0-P0-M1,0.8649992214241641,0.0,0.0,0.35365052090043625,"(2,1)","(1,2)"
1,1,tied,平局局,0,1,0,0,1,0,R0-P1-M0,0.8626895486363676,0.0,0.9184715659876238,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,0,1,1,0,1,1,R0-P1-M1,0.8812926607239172,0.0,0.8993480567576005,0.3007535165147954,"(2,1)","(1,2)"
1,1,tied,平局局,0,2,0,0,2,0,R0-P2-M0,0.8768231462223326,0.0,1.8297302895537986,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,0,2,1,0,2,1,R0-P2-M1,0.8926952498459346,0.0,1.7974005777910989,0.25528031832188847,"(2,1)","(1,2)"
1,1,tied,平局局,1,0,0,1,0,0,R1-P0-M0,0.8439653451946495,0.0002781954354547909,0.0,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,1,0,1,1,0,1,R1-P0-M1,0.8650400452436154,0.0008936233623192239,0.0,0.3535545788186823,"(2,1)","(1,2)"
1,1,tied,平局局,1,1,0,1,1,0,R1-P1-M0,0.8626969704165853,0.00011026025795204725,0.9184787702220903,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,1,1,1,1,1,1,R1-P1-M1,0.8813219545132867,0.0007147459307605256,0.8993584192358791,0.3007521779278091,"(2,1)","(1,2)"
1,1,tied,平局局,1,2,0,1,2,0,R1-P2-M0,0.876830928211553,0.00011449337377243077,1.8297332865303728,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,1,2,1,1,2,1,R1-P2-M1,0.8927246842796738,0.0007116805374153082,1.7974064379305184,0.25528029703118826,"(2,1)","(1,2)"
1,1,tied,平局局,2,0,0,2,0,0,R2-P0-M0,0.8439653835102451,0.00027905638678634554,0.0,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,2,0,1,2,0,1,R2-P0-M1,0.8650401017323803,0.0008955471645988547,0.0,0.35355457397375545,"(2,1)","(1,2)"
1,1,tied,平局局,2,1,0,2,1,0,R2-P1-M0,0.8626969948972785,0.00011088701032645959,0.9184787771734285,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,2,1,1,2,1,1,R2-P1-M1,0.8813219966754473,0.0007164197818993167,0.8993584264599241,0.3007521794119908,"(2,1)","(1,2)"
1,1,tied,平局局,2,2,0,2,2,0,R2-P2-M0,0.8768309519945302,0.00011510775198583738,1.8297332908851616,0.0,"(2,1)","(1,2)"
1,1,tied,平局局,2,2,1,2,2,1,R2-P2-M1,0.8927247258290868,0.0007133409300995571,1.797406442424968,0.25528029915482137,"(2,1)","(1,2)"
