action_id,defense_id,contact_load_family,mechanism_tag,family_rule_hit,p_family,family_damage_factor,route_rule_hit,route_rule_specificity,route_rule_specificity_note,geo_cap_applied,geo_cap_reason
A03,D11,sequence_chain,posture_high_cover,True,0.28,0.24,True,4,direct_bypass,False,
A03,D12,sequence_chain,posture_torso_sink,True,0.34,0.3,True,4,direct_bypass,False,
A03,D13,sequence_chain,posture_body_turn,True,0.42,0.38,True,4,direct_bypass,False,
A03,D14,sequence_chain,balance_micro_comp,True,0.24,0.24,True,4,direct_bypass,False,
A03,D15,sequence_chain,balance_soft_yield,True,0.4,0.44,True,0,weak_generic,False,
A03,D16,sequence_chain,balance_step_reset,True,0.46,0.48,True,0,weak_generic,False,
A03,D17,sequence_chain,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A03,D18,sequence_chain,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A03,D19,sequence_chain,ground_hold,True,0.05,0.05,False,0,default_like,False,
A03,D20,sequence_chain,combo_lateral_parry,True,0.96,0.88,True,0,weak_generic,False,
A03,D21,sequence_chain,combo_duck_slip,True,0.92,0.82,True,0,weak_generic,False,
A03,D22,sequence_chain,combo_block_retreat,True,0.9,0.84,True,0,weak_generic,False,
A04,D01,upper_terminal,rigid_high_cross,True,0.95,0.92,True,4,direct_bypass,True,arc_vs_high_rigid
A04,D02,upper_terminal,rigid_high_parry,True,0.92,0.88,True,4,direct_bypass,True,arc_vs_high_rigid
A04,D03,upper_terminal,rigid_close_elbow,True,0.88,0.82,True,4,direct_bypass,False,
A04,D04,upper_terminal,rigid_low_block,True,0.2,0.18,True,4,direct_bypass,False,
A04,D05,upper_terminal,rigid_close_clamp,True,0.55,0.58,True,4,direct_bypass,False,
A04,D06,upper_terminal,evade_lateral,True,0.9,0.75,True,0,weak_generic,False,
A04,D07,upper_terminal,evade_duck,True,0.42,0.3,True,0,weak_generic,False,
A04,D08,upper_terminal,evade_back,True,0.7,0.6,True,4,exact_match,False,
A04,D09,upper_terminal,evade_spin,True,0.6,0.48,True,0,weak_generic,False,
A04,D10,upper_terminal,evade_orbit,True,0.72,0.62,True,4,exact_match,False,
A04,D11,upper_terminal,posture_high_cover,True,0.86,0.78,True,4,direct_bypass,False,
A04,D12,upper_terminal,posture_torso_sink,True,0.3,0.35,True,4,direct_bypass,False,
A04,D13,upper_terminal,posture_body_turn,True,0.58,0.56,True,4,direct_bypass,False,
A04,D14,upper_terminal,balance_micro_comp,True,0.28,0.3,True,4,direct_bypass,False,
A04,D15,upper_terminal,balance_soft_yield,True,0.4,0.46,True,0,weak_generic,False,
A04,D16,upper_terminal,balance_step_reset,True,0.36,0.42,True,0,weak_generic,False,
A04,D17,upper_terminal,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A04,D18,upper_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A04,D19,upper_terminal,ground_hold,True,0.05,0.06,False,0,default_like,False,
A04,D20,upper_terminal,combo_lateral_parry,True,0.72,0.62,True,0,weak_generic,False,
A04,D21,upper_terminal,combo_duck_slip,True,0.62,0.54,True,0,weak_generic,False,
A04,D22,upper_terminal,combo_block_retreat,True,0.6,0.58,True,0,weak_generic,False,
A05,D01,lower_terminal,rigid_high_cross,True,0.18,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A05,D02,lower_terminal,rigid_high_parry,True,0.22,0.18,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A05,D03,lower_terminal,rigid_close_elbow,True,0.45,0.36,True,4,direct_bypass,False,
A05,D04,lower_terminal,rigid_low_block,True,0.42,0.4,True,4,direct_bypass,False,
A05,D05,lower_terminal,rigid_close_clamp,True,0.92,0.88,True,4,direct_bypass,False,
A05,D06,lower_terminal,evade_lateral,True,0.88,0.72,True,4,exact_match,False,
A05,D07,lower_terminal,evade_duck,True,0.2,0.16,True,0,weak_generic,False,
A05,D08,lower_terminal,evade_back,True,0.84,0.68,True,4,exact_match,False,
A05,D09,lower_terminal,evade_spin,True,0.55,0.44,True,0,weak_generic,False,
A05,D10,lower_terminal,evade_orbit,True,0.72,0.6,True,0,weak_generic,False,
A05,D11,lower_terminal,posture_high_cover,True,0.15,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A05,D12,lower_terminal,posture_torso_sink,True,0.62,0.56,True,4,direct_bypass,False,
A05,D13,lower_terminal,posture_body_turn,True,0.48,0.42,True,4,direct_bypass,False,
A05,D14,lower_terminal,balance_micro_comp,True,0.3,0.28,True,4,direct_bypass,False,
A05,D15,lower_terminal,balance_soft_yield,True,0.86,0.84,True,0,weak_generic,False,
A05,D16,lower_terminal,balance_step_reset,True,0.9,0.82,True,0,weak_generic,False,
A05,D17,lower_terminal,ground_transfer,True,0.08,0.08,False,0,default_like,False,
A05,D18,lower_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A05,D19,lower_terminal,ground_hold,True,0.05,0.08,False,0,default_like,False,
A05,D20,lower_terminal,combo_lateral_parry,True,0.35,0.3,True,0,weak_generic,False,
A05,D21,lower_terminal,combo_duck_slip,True,0.42,0.38,True,0,weak_generic,False,
A05,D22,lower_terminal,combo_block_retreat,True,0.58,0.54,True,0,weak_generic,False,
A06,D01,lower_terminal,rigid_high_cross,True,0.18,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A06,D02,lower_terminal,rigid_high_parry,True,0.22,0.18,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A06,D03,lower_terminal,rigid_close_elbow,True,0.45,0.36,True,4,direct_bypass,False,
A06,D04,lower_terminal,rigid_low_block,True,0.42,0.4,True,4,direct_bypass,False,
A06,D05,lower_terminal,rigid_close_clamp,True,0.92,0.88,True,4,direct_bypass,False,
A06,D06,lower_terminal,evade_lateral,True,0.88,0.72,True,4,exact_match,False,
A06,D07,lower_terminal,evade_duck,True,0.2,0.16,True,0,weak_generic,False,
A06,D08,lower_terminal,evade_back,True,0.84,0.68,True,4,exact_match,False,
A06,D09,lower_terminal,evade_spin,True,0.55,0.44,True,0,weak_generic,False,
A06,D10,lower_terminal,evade_orbit,True,0.72,0.6,True,4,exact_match,False,
A06,D11,lower_terminal,posture_high_cover,True,0.15,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A06,D12,lower_terminal,posture_torso_sink,True,0.62,0.56,True,4,direct_bypass,False,
A06,D13,lower_terminal,posture_body_turn,True,0.48,0.42,True,4,direct_bypass,False,
A06,D14,lower_terminal,balance_micro_comp,True,0.3,0.28,True,4,direct_bypass,False,
A06,D15,lower_terminal,balance_soft_yield,True,0.86,0.84,True,0,weak_generic,False,
A06,D16,lower_terminal,balance_step_reset,True,0.9,0.82,True,0,weak_generic,False,
A06,D17,lower_terminal,ground_transfer,True,0.08,0.08,False,0,default_like,False,
A06,D18,lower_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A06,D19,lower_terminal,ground_hold,True,0.05,0.08,False,0,default_like,False,
A06,D20,lower_terminal,combo_lateral_parry,True,0.35,0.3,True,0,weak_generic,False,
A06,D21,lower_terminal,combo_duck_slip,True,0.42,0.38,True,0,weak_generic,False,
A06,D22,lower_terminal,combo_block_retreat,True,0.58,0.54,True,0,weak_generic,False,
A07,D01,lower_terminal,rigid_high_cross,True,0.18,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A07,D02,lower_terminal,rigid_high_parry,True,0.22,0.18,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A07,D03,lower_terminal,rigid_close_elbow,True,0.45,0.36,True,4,direct_bypass,False,
A07,D04,lower_terminal,rigid_low_block,True,0.42,0.4,True,4,direct_bypass,False,
A07,D05,lower_terminal,rigid_close_clamp,True,0.92,0.88,True,4,direct_bypass,False,
A07,D06,lower_terminal,evade_lateral,True,0.88,0.72,True,0,weak_generic,False,
A07,D07,lower_terminal,evade_duck,True,0.2,0.16,True,0,weak_generic,False,
A07,D08,lower_terminal,evade_back,True,0.84,0.68,True,4,exact_match,False,
A07,D09,lower_terminal,evade_spin,True,0.55,0.44,True,4,exact_match,False,
A07,D10,lower_terminal,evade_orbit,True,0.72,0.6,True,4,exact_match,False,
A07,D11,lower_terminal,posture_high_cover,True,0.15,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A07,D12,lower_terminal,posture_torso_sink,True,0.62,0.56,True,4,direct_bypass,False,
A07,D13,lower_terminal,posture_body_turn,True,0.48,0.42,True,4,direct_bypass,False,
A07,D14,lower_terminal,balance_micro_comp,True,0.3,0.28,True,4,direct_bypass,False,
A07,D15,lower_terminal,balance_soft_yield,True,0.86,0.84,True,0,weak_generic,False,
A07,D16,lower_terminal,balance_step_reset,True,0.9,0.82,True,0,weak_generic,False,
A07,D17,lower_terminal,ground_transfer,True,0.08,0.08,False,0,default_like,False,
A07,D18,lower_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A07,D19,lower_terminal,ground_hold,True,0.05,0.08,False,0,default_like,False,
A07,D20,lower_terminal,combo_lateral_parry,True,0.35,0.3,True,0,weak_generic,False,
A07,D21,lower_terminal,combo_duck_slip,True,0.42,0.38,True,0,weak_generic,False,
A07,D22,lower_terminal,combo_block_retreat,True,0.58,0.54,True,0,weak_generic,False,
A08,D01,sweep_line,rigid_high_cross,True,0.05,0.04,True,4,direct_bypass,False,
A08,D02,sweep_line,rigid_high_parry,True,0.05,0.04,True,4,direct_bypass,False,
A08,D03,sweep_line,rigid_close_elbow,True,0.18,0.12,True,4,direct_bypass,False,
A08,D04,sweep_line,rigid_low_block,True,0.94,0.9,True,4,direct_bypass,False,
A08,D05,sweep_line,rigid_close_clamp,True,0.3,0.26,True,4,direct_bypass,False,
A08,D06,sweep_line,evade_lateral,True,0.48,0.36,True,0,weak_generic,False,
A08,D07,sweep_line,evade_duck,True,0.02,0.02,True,4,exact_match,True,sweep_vs_duck
A08,D08,sweep_line,evade_back,True,0.82,0.66,True,4,exact_match,False,
A08,D09,sweep_line,evade_spin,True,0.2,0.14,True,0,weak_generic,False,
A08,D10,sweep_line,evade_orbit,True,0.42,0.3,True,0,weak_generic,False,
A08,D11,sweep_line,posture_high_cover,True,0.05,0.04,True,4,direct_bypass,False,
A08,D12,sweep_line,posture_torso_sink,True,0.18,0.18,True,4,direct_bypass,False,
A08,D13,sweep_line,posture_body_turn,True,0.24,0.2,True,4,direct_bypass,False,
A08,D14,sweep_line,balance_micro_comp,True,0.32,0.3,True,4,direct_bypass,False,
A08,D15,sweep_line,balance_soft_yield,True,0.54,0.52,True,0,weak_generic,False,
A08,D16,sweep_line,balance_step_reset,True,0.92,0.86,True,4,exact_match,False,
A08,D17,sweep_line,ground_transfer,True,0.6,0.58,False,0,default_like,False,
A08,D18,sweep_line,recovery_up,True,0.1,0.1,True,4,direct_bypass,False,
A08,D19,sweep_line,ground_hold,True,0.5,0.58,False,0,default_like,False,
A08,D20,sweep_line,combo_lateral_parry,True,0.22,0.18,True,0,weak_generic,False,
A08,D21,sweep_line,combo_duck_slip,True,0.1,0.08,True,0,weak_generic,False,
A08,D22,sweep_line,combo_block_retreat,True,0.4,0.34,True,0,weak_generic,False,
A09,D01,lower_terminal,rigid_high_cross,True,0.18,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A09,D02,lower_terminal,rigid_high_parry,True,0.22,0.18,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A09,D03,lower_terminal,rigid_close_elbow,True,0.45,0.36,True,4,direct_bypass,False,
A09,D04,lower_terminal,rigid_low_block,True,0.42,0.4,True,4,direct_bypass,False,
A09,D05,lower_terminal,rigid_close_clamp,True,0.92,0.88,True,4,direct_bypass,False,
A09,D06,lower_terminal,evade_lateral,True,0.88,0.72,True,4,exact_match,False,
A09,D07,lower_terminal,evade_duck,True,0.2,0.16,True,0,weak_generic,False,
A09,D08,lower_terminal,evade_back,True,0.84,0.68,True,4,exact_match,False,
A09,D09,lower_terminal,evade_spin,True,0.55,0.44,True,0,weak_generic,False,
A09,D10,lower_terminal,evade_orbit,True,0.72,0.6,True,0,weak_generic,False,
A09,D11,lower_terminal,posture_high_cover,True,0.15,0.12,True,4,direct_bypass,True,lower_terminal_vs_high_guard
A09,D12,lower_terminal,posture_torso_sink,True,0.62,0.56,True,4,direct_bypass,False,
A09,D13,lower_terminal,posture_body_turn,True,0.48,0.42,True,4,direct_bypass,False,
A09,D14,lower_terminal,balance_micro_comp,True,0.3,0.28,True,4,direct_bypass,False,
A09,D15,lower_terminal,balance_soft_yield,True,0.86,0.84,True,0,weak_generic,False,
A09,D16,lower_terminal,balance_step_reset,True,0.9,0.82,True,4,exact_match,False,
A09,D17,lower_terminal,ground_transfer,True,0.08,0.08,False,0,default_like,False,
A09,D18,lower_terminal,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A09,D19,lower_terminal,ground_hold,True,0.05,0.08,False,0,default_like,False,
A09,D20,lower_terminal,combo_lateral_parry,True,0.35,0.3,True,0,weak_generic,False,
A09,D21,lower_terminal,combo_duck_slip,True,0.42,0.38,True,0,weak_generic,False,
A09,D22,lower_terminal,combo_block_retreat,True,0.58,0.54,True,0,weak_generic,False,
A10,D01,sequence_chain,rigid_high_cross,True,0.38,0.3,True,4,direct_bypass,False,
A10,D02,sequence_chain,rigid_high_parry,True,0.42,0.34,True,4,direct_bypass,False,
A10,D03,sequence_chain,rigid_close_elbow,True,0.62,0.54,True,4,direct_bypass,False,
A10,D04,sequence_chain,rigid_low_block,True,0.26,0.24,True,4,direct_bypass,False,
A10,D05,sequence_chain,rigid_close_clamp,True,0.5,0.46,True,4,direct_bypass,False,
A10,D06,sequence_chain,evade_lateral,True,0.74,0.62,True,0,weak_generic,False,
A10,D07,sequence_chain,evade_duck,True,0.46,0.38,True,0,weak_generic,False,
A10,D08,sequence_chain,evade_back,True,0.7,0.6,True,0,weak_generic,False,
A10,D09,sequence_chain,evade_spin,True,0.38,0.3,True,0,weak_generic,False,
A10,D10,sequence_chain,evade_orbit,True,0.62,0.54,True,0,weak_generic,False,
A10,D11,sequence_chain,posture_high_cover,True,0.28,0.24,True,4,direct_bypass,False,
A10,D12,sequence_chain,posture_torso_sink,True,0.34,0.3,True,4,direct_bypass,False,
A10,D13,sequence_chain,posture_body_turn,True,0.42,0.38,True,4,direct_bypass,False,
A10,D14,sequence_chain,balance_micro_comp,True,0.24,0.24,True,4,direct_bypass,False,
A10,D15,sequence_chain,balance_soft_yield,True,0.4,0.44,True,0,weak_generic,False,
A10,D16,sequence_chain,balance_step_reset,True,0.46,0.48,True,0,weak_generic,False,
A10,D17,sequence_chain,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A10,D18,sequence_chain,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A10,D19,sequence_chain,ground_hold,True,0.05,0.05,False,0,default_like,False,
A10,D20,sequence_chain,combo_lateral_parry,True,0.96,0.88,True,4,exact_match,False,
A10,D21,sequence_chain,combo_duck_slip,True,0.92,0.82,True,4,exact_match,False,
A10,D22,sequence_chain,combo_block_retreat,True,0.9,0.84,True,4,exact_match,False,
A11,D01,sequence_chain,rigid_high_cross,True,0.38,0.3,True,4,direct_bypass,False,
A11,D02,sequence_chain,rigid_high_parry,True,0.42,0.34,True,4,direct_bypass,False,
A11,D03,sequence_chain,rigid_close_elbow,True,0.62,0.54,True,4,direct_bypass,False,
A11,D04,sequence_chain,rigid_low_block,True,0.26,0.24,True,4,direct_bypass,False,
A11,D05,sequence_chain,rigid_close_clamp,True,0.5,0.46,True,4,direct_bypass,False,
A11,D06,sequence_chain,evade_lateral,True,0.74,0.62,True,0,weak_generic,False,
A11,D07,sequence_chain,evade_duck,True,0.46,0.38,True,0,weak_generic,False,
A11,D08,sequence_chain,evade_back,True,0.7,0.6,True,0,weak_generic,False,
A11,D09,sequence_chain,evade_spin,True,0.38,0.3,True,0,weak_generic,False,
A11,D10,sequence_chain,evade_orbit,True,0.62,0.54,True,0,weak_generic,False,
A11,D11,sequence_chain,posture_high_cover,True,0.28,0.24,True,4,direct_bypass,False,
A11,D12,sequence_chain,posture_torso_sink,True,0.34,0.3,True,4,direct_bypass,False,
A11,D13,sequence_chain,posture_body_turn,True,0.42,0.38,True,4,direct_bypass,False,
A11,D14,sequence_chain,balance_micro_comp,True,0.24,0.24,True,4,direct_bypass,False,
A11,D15,sequence_chain,balance_soft_yield,True,0.4,0.44,True,0,weak_generic,False,
A11,D16,sequence_chain,balance_step_reset,True,0.46,0.48,True,0,weak_generic,False,
A11,D17,sequence_chain,ground_transfer,True,0.05,0.05,False,0,default_like,False,
A11,D18,sequence_chain,recovery_up,True,0.02,0.02,True,4,direct_bypass,False,
A11,D19,sequence_chain,ground_hold,True,0.05,0.05,False,0,default_like,False,
A11,D20,sequence_chain,combo_lateral_parry,True,0.96,0.88,True,4,exact_match,False,
A11,D21,sequence_chain,combo_duck_slip,True,0.92,0.82,True,0,weak_generic,False,
A11,D22,sequence_chain,combo_block_retreat,True,0.9,0.84,True,4,exact_match,False,
A12,D01,torso_drive,rigid_high_cross,True,0.08,0.05,True,4,direct_bypass,True,torso_drive_vs_rigid_line
A12,D02,torso_drive,rigid_high_parry,True,0.1,0.06,True,4,direct_bypass,True,torso_drive_vs_rigid_line
A12,D03,torso_drive,rigid_close_elbow,True,0.12,0.1,True,4,direct_bypass,True,torso_drive_vs_rigid_line
A12,D04,torso_drive,rigid_low_block,True,0.12,0.1,True,4,direct_bypass,False,
A12,D05,torso_drive,rigid_close_clamp,True,0.42,0.36,True,4,direct_bypass,False,
A12,D06,torso_drive,evade_lateral,True,0.9,0.74,True,4,exact_match,False,
A12,D07,torso_drive,evade_duck,True,0.22,0.16,True,0,weak_generic,False,
A12,D08,torso_drive,evade_back,True,0.58,0.48,True,4,exact_match,False,
A12,D09,torso_drive,evade_spin,True,0.3,0.22,True,0,weak_generic,False,
A12,D10,torso_drive,evade_orbit,True,0.54,0.46,True,0,weak_generic,False,
A12,D11,torso_drive,posture_high_cover,True,0.15,0.12,True,4,direct_bypass,False,
A12,D12,torso_drive,posture_torso_sink,True,0.7,0.66,True,4,direct_bypass,False,
A12,D13,torso_drive,posture_body_turn,True,0.52,0.48,True,4,direct_bypass,False,
A12,D14,torso_drive,balance_micro_comp,True,0.38,0.42,True,4,direct_bypass,False,
A12,D15,torso_drive,balance_soft_yield,True,0.98,0.96,True,4,exact_match,False,
A12,D16,torso_drive,balance_step_reset,True,0.9,0.84,True,4,exact_match,False,
A12,D17,torso_drive,ground_transfer,True,0.45,0.5,False,0,default_like,False,
A12,D18,torso_drive,recovery_up,True,0.08,0.08,True,4,direct_bypass,False,
A12,D19,torso_drive,ground_hold,True,0.2,0.24,False,0,default_like,False,
A12,D20,torso_drive,combo_lateral_parry,True,0.36,0.3,True,0,weak_generic,False,
A12,D21,torso_drive,combo_duck_slip,True,0.32,0.28,True,0,weak_generic,False,
A12,D22,torso_drive,combo_block_retreat,True,0.48,0.44,True,0,weak_generic,False,
A13,D01,ground_conditional,rigid_high_cross,True,0.38,0.34,True,4,direct_bypass,False,
A13,D02,ground_conditional,rigid_high_parry,True,0.42,0.36,True,4,direct_bypass,False,
A13,D03,ground_conditional,rigid_close_elbow,True,0.58,0.5,True,4,direct_bypass,False,
A13,D04,ground_conditional,rigid_low_block,True,0.76,0.68,True,4,direct_bypass,False,
A13,D05,ground_conditional,rigid_close_clamp,True,0.52,0.48,True,4,direct_bypass,False,
A13,D06,ground_conditional,evade_lateral,True,0.78,0.72,True,0,weak_generic,False,
A13,D07,ground_conditional,evade_duck,True,0.34,0.3,True,0,weak_generic,False,
A13,D08,ground_conditional,evade_back,True,0.84,0.78,True,0,weak_generic,False,
A13,D09,ground_conditional,evade_spin,True,0.58,0.52,True,0,weak_generic,False,
A13,D10,ground_conditional,evade_orbit,True,0.72,0.66,True,0,weak_generic,False,
A13,D11,ground_conditional,posture_high_cover,True,0.3,0.28,True,4,direct_bypass,False,
A13,D12,ground_conditional,posture_torso_sink,True,0.62,0.56,True,4,direct_bypass,False,
A13,D13,ground_conditional,posture_body_turn,True,0.56,0.5,True,4,direct_bypass,False,
A13,D14,ground_conditional,balance_micro_comp,True,0.48,0.44,True,4,direct_bypass,False,
A13,D15,ground_conditional,balance_soft_yield,True,0.64,0.6,True,0,weak_generic,False,
A13,D16,ground_conditional,balance_step_reset,True,0.74,0.68,True,0,weak_generic,False,
A13,D17,ground_conditional,ground_transfer,True,0.82,0.74,True,4,exact_match,False,
A13,D18,ground_conditional,recovery_up,True,0.6,0.42,True,4,direct_bypass,False,
A13,D19,ground_conditional,ground_hold,True,0.96,0.92,True,4,exact_match,False,
A13,D20,ground_conditional,combo_lateral_parry,True,0.76,0.7,True,0,weak_generic,False,
A13,D21,ground_conditional,combo_duck_slip,True,0.48,0.42,True,0,weak_generic,False,
A13,D22,ground_conditional,combo_block_retreat,True,0.82,0.76,True,0,weak_generic,False,
