defense_id,defense_name,defense_category,closure_group,coverage_direction,coverage_height,contact_mode,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,exec_time_def,absorb_rate,balance_cost_def,mobility_cost,effective_support_mass,elastic_transfer_rate,force_base_factor,absorb_base_factor,force_capacity,force_capacity_factor,force_capacity_factor_input,force_capacity_factor_delta,force_capacity_factor_audit,contact_stiffness_ratio,contact_stiffness_ratio_input,contact_stiffness_ratio_delta,contact_stiffness_ratio_audit,defense_source_type,defense_description,force_capacity_basis,stiffness_basis,defense_stable_margin,omega_out,omega_eff
D11,head_guard,posture,fallback,front,high,passive,shoulder_pair,40.0,,0.0,,0.18510416666666665,0.653125,0.008532718535688785,0.0675430898099326,7.538461538461539,0.859375,0.6,0.76,281.88,0.648,0.65,-0.0020000000000000018,OK,0.34687500000000004,0.35,-0.0031249999999999334,OK,derived_model,护头防御,双臂护头形成面接触支撑,被动接触并通过姿态收紧分散冲击,0.12633,26.808257310632904,16.084954386379742
D12,sink_guard,posture,fallback,front,middle,passive,knee_pair,40.0,,0.0,,0.23510416666666664,0.653125,0.010270013273912953,0.08129512605013024,28.423255813953492,0.859375,0.6,0.76,261.1305,0.6003,0.6,0.00029999999999996696,OK,0.34687500000000004,0.35,-0.0031249999999999334,OK,derived_model,沉身防御,沉身缩体降低受击面积,被动接触并通过姿态收紧分散冲击,0.12633,26.808257310632904,16.084954386379742
D13,body_turn_guard,posture,fallback,lateral,middle,passive,waist_turn,45.0,,0.0,,0.1932421875,0.653125,0.024109056239000656,0.19084189217921838,23.83783783783784,0.859375,0.6,0.76,252.12599999999995,0.5795999999999999,0.58,-0.00040000000000006697,OK,0.34687500000000004,0.35,-0.0031249999999999334,OK,derived_model,侧身防御,侧转缩窄正面投影但承载链较短,被动接触并通过姿态收紧分散冲击,0.12633,26.808257310632904,16.084954386379742
D14,com_compensation,balance,fallback,all,all,passive,imu_micro,10.0,,0.0,,0.13627604166666665,0.6015625,0.002745405896551232,0.021732018495616498,21.512195121951223,0.859375,0.45,0.7,195.847875,0.450225,0.45,0.00022499999999997522,OK,0.3984375,0.3,0.09843750000000001,OK,derived_model,重心补偿,微调关节吸收部分冲量但非主接触链,以姿态调整为主的低刚度接触,0.12633,26.808257310632904,16.084954386379742
D15,yield_buffer,balance,fallback,front,middle,soft,imu_soft,20.0,,0.0,,0.1525520833333333,0.85078125,0.005469917596508305,0.04329864320832981,21.512195121951223,0.859375,0.5,0.99,217.60875,0.50025,0.5,0.00024999999999997247,OK,0.14921874999999996,0.15,-0.0007812500000000389,OK,derived_model,卸力缓冲,柔顺关节主动卸力承载能力中等,柔性接触耗散比例最高,0.12633,26.808257310632904,16.084954386379742
D16,step_adjust,balance,fallback,all,all,passive,step_adjust,30.0,,0.0,,0.21882812499999998,0.6015625,0.008635212738895991,0.0683544109783582,24.340909090909093,0.859375,0.45,0.7,173.336625,0.39847499999999997,0.4,-0.001525000000000054,OK,0.3984375,0.3,0.09843750000000001,OK,derived_model,步点调整,步法再支撑主要是补偿而非硬接,以姿态调整为主的低刚度接触,0.12633,26.808257310632904,16.084954386379742
D17,controlled_fall,ground,fallback,all,all,ground,whole_body_roll,90.0,,0.0,,0.366484375,0.30078125,0.08549557380648427,0.6767638233712046,33.6,0.859375,0.3,0.35,153.0765,0.3519,0.35,0.0019000000000000128,OK,0.69921875,0.7,-0.0007812499999999556,OK,derived_model,受控倒地,主动泄力转移到地面支撑链,地面接触刚性高但能量转移大,0.12633,26.808257310632904,16.084954386379742
D18,rapid_getup,ground,fallback,all,all,ground,get_up,0.0,,0.0,,1.0,0.30078125,0.061747778382048334,0.48878159092890316,33.6,0.859375,0.3,0.35,87.0435,0.20009999999999997,0.2,9.999999999996123e-05,OK,0.69921875,0.7,-0.0007812499999999556,OK,official_plus_model,快速起身,题目明确给出起身时间且承载以地面支撑为主,地面接触刚性高但能量转移大,0.12633,26.808257310632904,16.084954386379742
D19,ground_guard,ground,fallback,low,low,ground,leg_raise,60.0,,0.0,,0.36765625,0.30078125,0.013901624999999999,0.11004215150795535,33.6,0.859375,0.3,0.35,130.56525,0.30015,0.3,0.00014999999999998348,OK,0.69921875,0.7,-0.0007812499999999556,OK,derived_model,倒地防御,倒地后主要依赖地面与下肢共同承载,地面接触刚性高但能量转移大,0.12633,26.808257310632904,16.084954386379742
D20,slip_parry_combo,combo,active,mixed,high,composite,combo,0.0,,0.0,D06|D02,0.40393229166666667,0.7882035543862891,0.011349500355293361,0.08984010413435732,17.73195975702933,0.9931653060299543,0.85,0.58,351.7263862933159,0.8085664052719905,,,not_applicable,0.2117964456137109,,,not_applicable,derived_model,闪挡反,由侧闪与拍挡组合构成,由子动作吸收率按执行时间加权生成,0.12633,26.808257310632904,16.084954386379742
D21,duck_slip_combo,combo,active,mixed,middle,composite,combo,0.0,,0.0,D07|D06,0.5027604166666666,0.9500000000000002,0.020180276315532836,0.15974254979444974,26.593945358605023,1.0,0.85,0.58,435.0,1.0,,,not_applicable,0.05000000000000005,,,not_applicable,derived_model,潜闪踢,由下潜与侧闪组合构成,由子动作吸收率按执行时间加权生成,0.12633,26.808257310632904,16.084954386379742
D22,block_retreat_combo,combo,active,mixed,all,composite,combo,0.0,,0.0,D01|D08,0.4202083333333333,0.7806640625,0.01963841797275633,0.1554533204524367,18.03999125874126,0.9472656250000001,0.85,0.58,410.53125,0.94375,,,not_applicable,0.21933593750000005,,,not_applicable,derived_model,挡撤绕,由格挡与后撤组合构成,由子动作吸收率按执行时间加权生成,0.12633,26.808257310632904,16.084954386379742
