defense_id,defense_name,defense_category,category,defense_role,is_primary_candidate,closure_group,entry_state,exit_state,coverage_direction,coverage_height,coverage_range,coverage_target_zone,contact_mode,support_mode_def,route_type,primary_joint_group,primary_angle_deg,secondary_joint_group,secondary_angle_deg,sequence_ids,exec_time_def,effective_support_mass,balance_cost_def,mobility_cost,J_cap,E_cap,absorb_base,clear_back_m,clear_lateral_m,clear_orbit_m,clear_drop_m,postdef_delay_s,counter_readiness_tag,force_capacity_factor,force_capacity_factor_input,force_capacity_factor_delta,contact_stiffness_ratio,contact_stiffness_ratio_input,contact_stiffness_ratio_delta,defense_source_type,defense_description,force_capacity_basis,stiffness_basis,active_segments_json,support_segments_json,defense_stable_margin,force_capacity_factor_audit,contact_stiffness_ratio_audit
D11,head_guard,posture,posture,fallback_mitigation,0,fallback,standing,standing,front,high,middle,head,passive,double_support,head_cover,shoulder_pair,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.071070451904515,0.562577787576308,6.817106022627187,4.340839457247231,0.63,0.0,0.0,0.0,0.0,0.1,medium,0.7230698193372225,0.65,0.07306981933722245,0.37,0.35,0.020000000000000018,derived_model,high guard posture for fallback,passive area coverage,passive contact spread,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,OK,OK
D12,sink_guard,posture,posture,fallback_mitigation,0,fallback,standing,crouched,front,middle,close,torso,passive,double_support,torso_sink,knee_pair,40.0,,0.0,,0.10510416666666667,12.600000000000001,0.07919151841589842,0.6268623321134997,6.817106022627187,4.340839457247231,0.63,0.0,0.0,0.0,0.0,0.18,slow,0.7230698193372225,0.6,0.1230698193372225,0.37,0.35,0.020000000000000018,derived_model,compact torso guard posture,passive body contraction,passive contact spread,"[""S2"", ""S7"", ""S8""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK
D13,body_turn_guard,posture,posture,fallback_mitigation,0,fallback,standing,standing,lateral,middle,middle,torso,passive,double_support,body_turn,waist_turn,45.0,,0.0,,0.11324218750000001,12.600000000000001,0.08860671709836337,0.7013909372149401,6.817106022627187,4.340839457247231,0.63,0.0,0.0,0.0,0.0,0.1,medium,0.7230698193372225,0.58,0.14306981933722251,0.37,0.35,0.020000000000000018,derived_model,body turn guard to narrow target,passive torso turn,passive contact spread,"[""S2"", ""S7"", ""S8""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK
D14,com_compensation,balance,balance,fallback_mitigation,0,fallback,standing,standing,front_lateral,middle,close,torso,passive,soft_adjust,balance_comp,imu_micro,10.0,,0.0,,0.06627604166666667,10.080000000000002,0.02018008512522157,0.15974103637474527,6.097404990567044,3.88256484232724,0.63,0.0,0.0,0.0,0.0,0.35,none,0.6467333074066086,0.45,0.1967333074066086,0.37,0.3,0.07,derived_model,center of mass compensation micro adjustment for close torso perturbation,micro adjustment support chain,soft low stiffness adjustment,"[""S2"", ""S7"", ""S8""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK
D15,yield_buffer,balance,balance,fallback_mitigation,0,fallback,standing,standing,front,middle,close,torso,soft,soft_adjust,yield_soft,imu_soft,20.0,,0.0,,0.08255208333333333,10.080000000000002,0.03608341409129522,0.28562822838039437,6.774894433963383,4.313960935919156,0.78,0.0,0.0,0.0,0.0,0.18,slow,0.7185925637851207,0.5,0.2185925637851207,0.21999999999999997,0.15,0.06999999999999998,derived_model,yield and buffer against rush or body force at close range,soft yielding path,high damping soft contact,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.12633,revisit,OK
D16,step_adjust,balance,balance,fallback_mitigation,0,fallback,standing,standing,all,all,all,all,passive,dynamic_step,balance_step,step_adjust,30.0,,0.0,,0.128828125,11.592000000000002,0.07124382522660251,0.6634707905681434,6.538738392216093,4.1635869413411895,0.63,0.07551499999999998,0.055606499999999996,0.0,0.0,0.06,fast,0.693544206626697,0.4,0.293544206626697,0.37,0.3,0.07,derived_model,step adjustment for balance recovery,step based balance reset,soft low stiffness adjustment,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,revisit,OK
D17,controlled_fall,ground,ground,emergency_transition,0,fallback,standing,fallen,all,all,all,all,ground,ground_support,ground_transfer,whole_body_roll,90.0,,0.0,,0.326484375,34.397999999999996,0.06821819999999999,1.8,5.462774777754173,3.4784596605396083,0.55,0.0,0.0,0.0,0.0,0.35,none,0.57942,0.35,0.22942000000000007,0.44999999999999996,0.7,-0.25,derived_model,controlled fall as emergency transition,whole body fall transfer,ground contact transfer,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",0.037898999999999995,revisit,revisit
D18,rapid_getup,ground,ground,recovery_only,0,fallback,fallen,standing,all,all,all,all,ground,ground_support,recovery_up,get_up,0.0,,0.0,,1.0,34.397999999999996,0.0031293540776129365,0.08257088782323906,7.382128078046179,4.700621162891362,0.55,0.0,0.0,0.0,0.0,0.18,slow,0.783,0.2,0.583,0.44999999999999996,0.7,-0.25,official_plus_model,rapid get up only from fallen state,official getup time reference,ground recovery contact,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",0.037898999999999995,revisit,revisit
D19,ground_guard,ground,ground,ground_only,0,fallback,fallen,ground_guard,low,low,close,lower_limbs,ground,ground_support,ground_hold,leg_raise,60.0,,0.0,,0.27765625,34.397999999999996,0.06214541249999999,1.6397639119765692,7.382128078046179,4.700621162891362,0.55,0.0,0.0,0.0,0.0,0.35,none,0.783,0.3,0.48300000000000004,0.44999999999999996,0.7,-0.25,derived_model,ground guard against low attacks,ground defense only,ground recovery contact,"[""S7"", ""S8"", ""S9"", ""S10""]","[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]",0.037898999999999995,revisit,revisit
D20,slip_parry_combo,combo,combo,active_combo,1,active,standing,standing,mixed,high,middle,head_torso,composite,dynamic_step,combo_lateral_parry,combo,0.0,,0.0,D06|D02,0.19393229166666665,12.04488745407993,0.07453046729757978,0.6940782292649018,4.699184145123167,2.7072629872977303,0.23363241678726487,0.0,0.09643336332501978,0.0,0.0,0.06,fast,0.49842825086899323,0.0,0.49842825086899323,0.7663675832127351,0.0,0.7663675832127351,derived_model,lateral slip plus parry combo,composite evade and parry,derived from child actions,"[""S2"", ""S4"", ""S6"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,revisit,revisit
D21,duck_slip_combo,combo,combo,active_combo,1,active,standing,crouched,mixed,middle,middle,torso_limbs,composite,quasi_single_support,combo_duck_slip,combo,0.0,,0.0,D07|D06,0.26276041666666666,11.15768690865302,0.11483199741830029,1.3984375161305285,0.0,0.0,0.0,0.0,0.09643336332501978,0.0,0.23203741893102367,0.1,medium,0.0,0.0,0.0,1.0,0.0,1.0,derived_model,duck and slip combo,composite duck and slip route,derived from child actions,"[""S2"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.0821145,OK,revisit
D22,block_retreat_combo,combo,combo,active_combo,1,active,standing,off_line,mixed,all,long,all,composite,dynamic_step,combo_block_retreat,combo,0.0,,0.0,D01|D08,0.2102083333333333,11.94985678601166,0.10150946221035388,0.9453249166315475,3.7131409137112583,2.139190261940222,0.18460865945045796,0.1577668530603535,0.0,0.0,0.0,0.1,medium,0.39384162733267175,0.0,0.39384162733267175,0.8153913405495421,0.0,0.8153913405495421,derived_model,block then retreat combo,composite block and retreat,derived from child actions,"[""S2"", ""S3"", ""S4"", ""S5"", ""S6"", ""S7"", ""S8"", ""S9"", ""S10""]","[""S7"", ""S8"", ""S9"", ""S10""]",0.10738049999999999,revisit,revisit
